Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
0	9.226120948791504	1000	2000	70.87757455410701	85	116.31808142154632	2000
1	17.112264156341553	1000	3000	369.13241905726835	95	369.13241905726835	3000
2	24.60265564918518	1000	4000	334.9671288780524	102	369.13241905726835	4000
3	32.15705752372742	1000	5000	293.18920139895977	109	369.13241905726835	5000
4	40.05606746673584	1000	6000	257.59616163470713	117	369.13241905726835	6000
5	47.995959758758545	1000	7000	354.32164384335306	123	448.92710579813354	7000
6	56.20625042915344	1000	8000	305.64860188906215	130	514.8539395345643	8000
7	64.20009350776672	1000	9000	287.9381387672364	137	514.8539395345643	9000
8	72.13371062278748	1000	10000	331.4667929217214	145	514.8539395345643	10000
9	79.75185871124268	1000	11000	280.1024489644563	156	514.8539395345643	11000
10	87.62396335601807	1000	12000	315.83265431297855	163	514.8539395345643	12000
11	95.60674166679382	1000	13000	319.7547300503628	170	524.9098220521063	13000
12	103.35642457008362	1000	14000	336.05698066499986	178	524.9098220521063	14000
13	110.82510948181152	1000	15000	204.19237348263826	187	524.9098220521063	15000
14	118.8431487083435	1000	16000	242.92153219636046	195	524.9098220521063	16000
15	126.81849837303162	1000	17000	326.1632136884072	204	524.9098220521063	17000
16	134.64469146728516	1000	18000	187.1203583412054	212	567.1524170241124	18000
17	142.50929141044617	1000	19000	211.5788243301733	221	567.1524170241124	19000
18	150.22575068473816	1000	20000	248.51687542770532	229	567.1524170241124	20000
19	158.39164876937866	1000	21000	468.12820920283883	237	567.1524170241124	21000
20	166.7878041267395	1000	22000	358.41399890275835	245	567.1524170241124	22000
21	175.05422639846802	1000	23000	513.1037270938269	250	614.8251035154618	23000
22	183.4192726612091	1000	24000	464.6115757229289	255	784.0088895034985	24000
23	191.55893993377686	1000	25000	590.061526691658	259	1446.4948646614598	25000
24	199.5277235507965	1000	26000	389.1537574159139	264	1446.4948646614598	26000
25	207.23466396331787	1000	27000	328.50851868997455	270	1446.4948646614598	27000
