LossAfter,train-MaxReturn,Itr,LossBefore,train-NumTrajs,Time-SampleProc,train-AverageReturn,Time-Optimization,train-EnvExecTime,n_timesteps,Time,ItrTime,train-MinReturn,Time-Sampling,train-PolicyExecTime,train-StdReturn,train-AverageDiscountedReturn
0.064949706,183.66473427526807,0,-1.41894325e-05,100,0.07544326782226562,89.15484156152063,0.49529480934143066,2.327721357345581,10000,6.245820045471191,6.245818138122559,-137.83088365713138,5.674768686294556,3.180054187774658,71.68552997209785,58.779616857014325
0.012715093,195.46685172977894,1,-1.4208077e-05,100,0.04382491111755371,26.568163342958492,0.36559438705444336,2.3204338550567627,20000,12.254346132278442,5.987780809402466,-168.80739522811757,5.567642688751221,3.0803017616271973,90.45171583824637,24.896176560696336
-0.004918757,195.69926385280596,2,-1.4218164e-05,100,0.04187202453613281,104.70334015280366,0.4026517868041992,2.3289644718170166,30000,18.340606451034546,6.0762939453125,-148.48836299523308,5.631429672241211,3.129824161529541,74.60616000134056,66.52202500478575
-0.007991525,213.2507095048333,3,-1.4194201e-05,100,0.03626847267150879,160.34645665854842,0.3609349727630615,2.3285140991210938,40000,24.400027751922607,6.0451884269714355,-52.09989017768914,5.647532224655151,3.146815061569214,50.95894145381912,96.00599389580755
-0.0081893485,205.96906377651626,4,-1.4164367e-05,100,0.04623579978942871,180.30605364211576,0.24857211112976074,2.360469102859497,50000,30.447641372680664,6.034634351730347,-72.00819063091647,5.739544630050659,3.2037458419799805,37.39379123906699,107.98490795702509
-0.00792745,208.14060605522198,5,-1.4123821e-05,100,0.07254862785339355,189.45597482411614,0.18755602836608887,2.394237756729126,60000,36.550225019454956,6.089855909347534,-9.321344935845413,5.829337120056152,3.2597262859344482,27.98130369137753,112.56441813986469
-0.004680153,207.44264998002234,6,-1.4070768e-05,100,0.07259702682495117,195.6140446301655,0.20642805099487305,2.4102790355682373,70000,42.692403078079224,6.133552312850952,149.16980630549497,5.845771789550781,3.2586288452148438,9.860779072996126,116.50730387442381
-0.003661992,206.359088607429,7,-1.4013377e-05,100,0.0364530086517334,197.78319383990384,0.3199334144592285,2.4352641105651855,80000,48.961209774017334,6.254217624664307,176.76733901578191,5.897423982620239,3.283550977706909,6.0185476748469,117.57642813344346
-0.004409801,211.59167468006518,8,-1.39512385e-05,100,0.03787684440612793,200.2043195322289,0.33121514320373535,2.4251012802124023,90000,55.23258328437805,6.258604049682617,187.00766139920472,5.8892927169799805,3.2847037315368652,4.677478322124339,118.84413004461008
-0.0052954843,213.78258345881807,9,-1.3876046e-05,100,0.03530430793762207,201.9516860282605,0.34348058700561523,2.4080891609191895,100000,61.44363594055176,6.199775695800781,187.29401695336534,5.820749759674072,3.2344272136688232,4.7266733668769945,119.61435759371156
-0.0064600445,208.0742720624774,10,-1.3794871e-05,100,0.06940841674804688,202.12990932172553,0.2925722599029541,2.4181041717529297,110000,67.62472295761108,6.166033506393433,188.6737885812752,5.802724123001099,3.2095067501068115,3.8863714435017545,119.69161890506142
-0.0035650441,212.73090343664245,11,-1.3721609e-05,100,0.0343623161315918,203.43148775318318,0.34426236152648926,2.487649917602539,120000,74.02812814712524,6.3914008140563965,195.6057607759283,6.012514352798462,3.3326220512390137,3.5972381989884656,120.12134456716845
-0.004397474,213.0641608846701,12,-1.36514755e-05,100,0.06581449508666992,204.49075444921797,0.28383541107177734,2.584023952484131,130000,80.58184885978699,6.541218996047974,190.81002503782196,6.191025257110596,3.422581195831299,3.5891991939980277,120.6143231974753
-0.0064299437,213.36006708050826,13,-1.3577946e-05,100,0.054425716400146484,205.21780967202608,0.319077730178833,2.5892386436462402,140000,87.23470544815063,6.642790079116821,191.3321357592732,6.269067287445068,3.4907147884368896,3.7738051959171037,120.93071322725173
-0.0058815326,213.2774475534624,14,-1.3513192e-05,100,0.045378684997558594,206.361719609388,0.34936022758483887,2.917588233947754,150000,95.00548815727234,7.75460147857666,194.27782339514889,7.3591227531433105,4.222444534301758,3.3205967778716174,121.17678270821972
-0.0041831136,217.30777526091165,15,-1.34377915e-05,100,0.15570425987243652,207.52109860168505,0.3432130813598633,4.08966851234436,160000,106.99754309654236,11.974714756011963,196.93711484640642,11.475048303604126,7.0859386920928955,3.4409507792942713,121.75891177684302
-0.005458533,216.61737451315375,16,-1.3367191e-05,100,0.05702018737792969,208.92517523171148,0.2935969829559326,3.510643482208252,170000,116.75545334815979,9.746349811553955,194.34448768655642,9.395276308059692,5.632303237915039,3.7004593134492687,122.24614667914821
-0.00484882,217.97632500140114,17,-1.328965e-05,100,0.0538477897644043,209.2757897826954,0.33207178115844727,2.80903959274292,180000,124.07269430160522,7.307128667831421,201.1843196057693,6.920984983444214,3.9095571041107178,3.6778848843597016,122.43991804219586
-0.004375098,221.9780380689294,18,-1.3210978e-05,100,0.11131119728088379,210.68205157075238,0.299701452255249,2.711214065551758,190000,131.01970911026,6.936351776123047,191.97486157154663,6.521320343017578,3.616269588470459,4.484844199487282,122.96991415245431
-0.0043920577,221.76550404165164,19,-1.3136817e-05,100,0.04326653480529785,211.75234119683836,0.36696386337280273,2.6615657806396484,200000,137.85877561569214,6.8267598152160645,193.62434239447933,6.4161536693573,3.562329053878784,4.839026832908795,123.3489499935956
-0.004519694,225.20969388724302,20,-1.30763665e-05,100,0.03952193260192871,213.10943591221624,0.36548423767089844,2.642745018005371,210000,144.66443276405334,6.794365882873535,188.42077434075537,6.389089584350586,3.5521399974823,5.394594379577829,123.96845467056093
-0.0036186518,225.24000214642342,21,-1.30073095e-05,100,0.06238293647766113,213.08136124979723,0.30904054641723633,2.681702136993408,220000,151.54804301261902,6.870318412780762,197.17558361014122,6.49845027923584,3.624081611633301,4.60131176918327,123.98097029629778
-0.0006329727,226.58019869242233,22,-1.2942842e-05,100,0.11472153663635254,215.1669382930051,0.30710577964782715,2.5387911796569824,230000,158.0941460132599,6.535695314407349,197.2128745740007,6.1123456954956055,3.387979030609131,5.082839510554322,124.93392837726347
-0.0049503953,232.46062497438479,23,-1.2866426e-05,100,0.037496328353881836,217.00961914631807,0.33725547790527344,2.5430126190185547,240000,164.65509724617004,6.549340009689331,204.76581318241963,6.17426061630249,3.4386284351348877,4.570898026363713,125.67042549403632
-0.0034568445,235.85413138087193,24,-1.2797869e-05,100,0.07860827445983887,217.15176389412343,0.3315908908843994,2.5925116539001465,250000,171.37589693069458,6.704322814941406,169.9465734757305,6.292211294174194,3.5108273029327393,8.411646542743386,125.73330674158859
-0.0052167038,232.72114237635196,25,-1.27353605e-05,100,0.04083561897277832,220.23576937285478,0.33935976028442383,2.5810534954071045,260000,178.00512027740479,6.613146066665649,201.40349850724297,6.232586622238159,3.4639859199523926,5.675389727484316,127.13144850331685
-0.003963207,237.04502811526274,26,-1.2678472e-05,100,0.08272266387939453,219.25172962865162,0.29796862602233887,2.5338006019592285,270000,184.55691480636597,6.5372045040130615,169.18357444741886,6.156271696090698,3.437999725341797,12.014689303068888,126.68729875307879
-0.0032383045,235.2265843406346,27,-1.2627405e-05,100,0.04847455024719238,221.84472803017732,0.2244706153869629,2.7149155139923096,280000,191.45225930213928,6.881426572799683,202.70123912548436,6.608216047286987,3.695800542831421,6.599270916787471,128.04450270031822
0.0013693757,232.6364876248695,28,-1.2569519e-05,100,0.04443812370300293,221.84076381680384,0.23394107818603516,2.650082588195801,290000,198.2679352760315,6.803822040557861,202.97426645588706,6.525214672088623,3.680734872817993,5.198055031530913,128.0851254474408
-0.0023498072,233.62498249059698,29,-1.25291e-05,100,0.04220461845397949,222.88921978864536,0.22994756698608398,2.6231954097747803,300000,204.970867395401,6.691925287246704,197.43073636516993,6.419507265090942,3.6054184436798096,6.53000522144074,128.6267760950391
0.0011754115,237.70025690960722,30,-1.2488348e-05,100,0.046593666076660156,222.14616917292378,0.21838068962097168,2.654913902282715,310000,211.73192238807678,6.750759124755859,198.58609049189877,6.48548150062561,3.6285784244537354,6.296781110975133,128.2379955881804
-0.0020251898,236.3341508271749,31,-1.2449587e-05,100,0.07530951499938965,223.4047958324464,0.22724580764770508,2.518364429473877,320000,218.28338742256165,6.540943622589111,192.07792930997672,6.229289770126343,3.5259222984313965,5.984607016849665,128.8311331835887
0.004953041,238.51478621423743,32,-1.2414474e-05,100,0.04308366775512695,223.66764966588613,0.25842785835266113,2.757641077041626,330000,225.34804821014404,7.053250312805176,184.25860584260005,6.751482725143433,3.7932016849517822,6.739560367075443,128.90213931387996
-0.00060024724,248.14175898582315,33,-1.2377242e-05,100,0.04014706611633301,223.94512117877443,0.22296476364135742,2.7547366619110107,340000,232.5009741783142,7.141028642654419,185.41121472675775,6.877558469772339,3.913020610809326,8.255800368192066,129.07663028001176
-0.0026759326,236.29041930296768,34,-1.2353735e-05,100,0.04620790481567383,224.40514401732088,0.2036454677581787,2.7325515747070312,350000,239.5258595943451,7.0142340660095215,188.09328392563154,6.764024257659912,3.832836389541626,8.014678126576504,129.29336279606886
0.0025616384,236.57932708276576,35,-1.2329926e-05,100,0.03746914863586426,224.4207616811452,0.19591331481933594,2.6626458168029785,360000,246.2383267879486,6.703104019165039,195.55560001669494,6.469504356384277,3.6091413497924805,7.470172648545887,129.17560376101585
0.00058755965,235.01892877196107,36,-1.2283598e-05,100,0.03843355178833008,224.0375200938962,0.24457788467407227,2.59900164604187,370000,252.83640050888062,6.58945107460022,177.2714379784895,6.306151628494263,3.519500970840454,8.552784094661371,129.03898708857923
-0.00056089374,239.98748521536055,37,-1.2235413e-05,100,0.04291248321533203,224.8121840167404,0.21300911903381348,2.6658501625061035,380000,259.6393222808838,6.791564464569092,203.1374017544183,6.535397529602051,3.673236131668091,5.68456777694098,129.43792353454245
-0.0021656193,237.83205424309713,38,-1.2172386e-05,100,0.04736471176147461,224.35368003604407,0.23596763610839844,2.5053791999816895,390000,266.0782723426819,6.4287004470825195,197.50225111063548,6.145066022872925,3.4527499675750732,6.778155032835501,129.2054751852657
-0.00030321133,236.6848414172399,39,-1.210645e-05,100,0.04462122917175293,226.39633183702352,0.20673584938049316,2.755262613296509,400000,273.1150448322296,7.0252275466918945,207.17889058696414,6.7736077308654785,3.8161494731903076,6.053147328842568,130.15699087401535
-0.0029107102,237.25249174940757,40,-1.2049781e-05,100,0.04240059852600098,224.66712582511246,0.216414213180542,2.5983455181121826,410000,279.77526354789734,6.650137662887573,186.7969777219227,6.391105651855469,3.6010332107543945,7.963697700470983,129.29846441900042
-0.0006700462,240.75486682699835,41,-1.1989334e-05,100,0.04049324989318848,225.36085556976047,0.2097780704498291,2.622199058532715,420000,286.5560896396637,6.769970417022705,207.62742499533485,6.519442081451416,3.704289674758911,6.123986315495901,129.61418363893858
-0.0018390507,239.3077949382734,42,-1.1922362e-05,100,0.04559659957885742,225.9787617582894,0.2635385990142822,2.6234917640686035,430000,293.5175383090973,6.951735973358154,173.81309021670586,6.6422998905181885,3.820020914077759,8.300198316471988,129.94208795413738
-0.0038096257,237.9576840456255,43,-1.1868185e-05,100,0.04244375228881836,225.64933621809604,0.2597222328186035,3.172942638397217,440000,302.1372652053833,8.60922384262085,189.6429111329423,8.306615829467773,4.890872001647949,8.856088277527991,129.78382299861002
-0.00014992859,239.50030304504648,44,-1.1824457e-05,100,0.06286478042602539,225.46774411919677,0.25070834159851074,2.8939480781555176,450000,309.77977895736694,7.629361867904663,195.5277209026243,7.315370798110962,4.2023866176605225,9.156600884152581,129.6401895032863
-0.0023991195,237.63793310837158,45,-1.1754342e-05,100,0.09357452392578125,227.44880710633436,0.2949819564819336,3.0912036895751953,460000,318.1307575702667,8.335821390151978,199.47010156427814,7.946901321411133,4.616430759429932,5.811990844620385,130.66041942426776
0.0033676021,240.9546480595264,46,-1.1726623e-05,100,0.08201885223388672,228.3393564464382,0.2755160331726074,3.1580047607421875,470000,326.57020926475525,8.425070524215698,209.60978399796588,8.061825513839722,4.6585164070129395,6.07745388577147,131.11310648116194
