Iteration	TimestepsThisBatch	Time	PoolSize	MaxEpReturn	TimestepsSoFar	LastEpReturn	Episodes
0	1000	8.119498491287231	2000	-277.50529900453233	2000	-282.0288595284658	2
1	1000	15.841629981994629	3000	-134.1187114884564	3000	-134.1187114884564	3
2	1000	24.634049654006958	4000	-134.1187114884564	4000	-165.3031255913962	4
3	1000	34.1637864112854	5000	-64.31417273834134	5000	-64.31417273834134	5
4	1000	44.97735905647278	6000	-64.31417273834134	6000	-228.49351924494005	6
5	1000	55.715941190719604	7000	-64.31417273834134	7000	-101.32069633713961	7
6	1000	64.28181910514832	8000	-37.874332344558624	8000	-37.874332344558624	8
7	1000	71.8127236366272	9000	26.30428344015793	9000	26.30428344015793	9
8	1000	79.5694055557251	10000	26.30428344015793	10000	15.034778478399021	10
9	1000	87.9176881313324	11000	105.3509897888611	11000	105.3509897888611	11
10	1000	96.96916699409485	12000	105.3509897888611	12000	-60.22606973194817	12
11	1000	107.7116346359253	13000	105.3509897888611	13000	-139.88662712944344	13
12	1000	118.29083180427551	14000	105.3509897888611	14000	-138.1840938335394	14
13	1000	129.04514408111572	15000	105.3509897888611	15000	6.009736200084879	15
14	1000	139.84395241737366	16000	105.3509897888611	16000	-98.78996947515508	16
15	1000	149.66297125816345	17000	105.3509897888611	17000	-2.790708980996715	17
16	1000	157.13825798034668	18000	105.3509897888611	18000	27.77502097276005	18
17	1000	164.83261799812317	19000	105.3509897888611	19000	-75.32148021347055	19
18	1000	172.88081192970276	20000	105.3509897888611	20000	51.28365548851795	20
19	1000	181.77084040641785	21000	105.3509897888611	21000	-182.47519069523858	21
20	1000	192.1357033252716	22000	105.3509897888611	22000	-57.86863910942325	22
21	1000	202.86186385154724	23000	105.3509897888611	23000	-109.20488783796421	23
22	1000	213.69070029258728	24000	105.3509897888611	24000	-47.50906887107907	24
23	1000	224.36659789085388	25000	157.03811653302733	25000	157.03811653302733	25
24	1000	234.87665104866028	26000	157.03811653302733	26000	64.01290345412895	26
