ItrTime,n_timesteps,train-MaxReturn,LossBefore,LossAfter,train-MinReturn,train-EnvExecTime,train-NumTrajs,Itr,Time-SampleProc,train-AverageDiscountedReturn,Time,Time-Sampling,train-StdReturn,Time-Optimization,train-PolicyExecTime,train-AverageReturn
6.645997762680054,10000,40.259490677406056,-1.4191769e-05,0.038709924,-140.46526272424617,2.115753173828125,100,0,0.07116246223449707,-17.462195388829805,6.646001100540161,5.99991512298584,33.08033769478222,0.5646040439605713,3.692206382751465,-27.8396184864036
6.0248401165008545,20000,36.12544359800366,-1.4250665e-05,-0.004593599,-122.34026140770554,1.9924376010894775,100,1,0.045725345611572266,-19.950874454625314,12.698407173156738,5.6151111125946045,33.65939931711316,0.36361074447631836,3.439342498779297,-32.63425042678145
6.083118677139282,30000,47.19372412953285,-1.4274263e-05,-0.014736538,-123.47254297584753,2.020331859588623,100,2,0.04697585105895996,-14.795254803817976,18.801958322525024,5.702108383178711,31.413907020262624,0.33346104621887207,3.4932239055633545,-24.05210519786152
6.589521408081055,40000,87.27791970185864,-1.4270114e-05,-0.018599413,-142.6579032073589,2.167419672012329,100,3,0.06318283081054688,-17.23855519449268,25.43685269355774,6.176482200622559,35.83473237398794,0.3491215705871582,3.8078081607818604,-27.2380744062858
6.559228420257568,50000,48.03635743453214,-1.4259525e-05,-0.015035995,-126.3814477470994,2.145754098892212,100,4,0.05057978630065918,-16.57182066677161,32.01916003227234,6.084762096405029,35.779798987084156,0.4233534336090088,3.7406764030456543,-26.324981994788377
6.083317756652832,60000,68.35599480230377,-1.4228987e-05,-0.018836996,-96.97275944438358,2.012833595275879,100,5,0.04651141166687012,-16.419782961498587,38.11660122871399,5.720802545547485,31.88386621842439,0.31525683403015137,3.5161619186401367,-25.58668542907261
5.870495319366455,70000,33.269187384481526,-1.4208731e-05,-0.01601828,-104.68915991119651,1.9647715091705322,100,6,0.05108451843261719,-16.03077913674182,44.006224393844604,5.576138734817505,28.869067246919066,0.24293923377990723,3.4207935333251953,-25.003806185857428
6.423884391784668,80000,32.53935507012276,-1.4213658e-05,-0.017358366,-94.56045837320232,2.1361076831817627,100,7,0.049404144287109375,-16.58149266359446,50.46291995048523,6.15640664100647,25.83847271824947,0.21700048446655273,3.8088431358337402,-25.785752915709704
6.283935070037842,90000,67.16380910906227,-1.4177255e-05,-0.01819102,-89.85232791088916,2.110558032989502,100,8,0.08566927909851074,-11.529506447819992,56.75761890411377,6.001821517944336,25.772548723435026,0.1962440013885498,3.69539213180542,-18.7150235435091
6.274677038192749,100000,43.4681787809904,-1.4164905e-05,-0.017461259,-191.38102691215022,2.096400499343872,100,9,0.046872615814208984,-15.758171917117487,63.04221534729004,6.012674570083618,33.67224835310426,0.21490263938903809,3.7175168991088867,-24.669971105944548
6.199897050857544,110000,25.47842660365522,-1.4163569e-05,-0.016140068,-115.12884171909596,2.0760538578033447,100,10,0.05418848991394043,-16.803143696362046,69.25324010848999,5.92152214050293,28.11906609948314,0.22396016120910645,3.650186061859131,-27.248045592780503
6.165601015090942,120000,67.53445803642526,-1.415782e-05,-0.016873289,-142.77198860573208,2.059753894805908,100,11,0.04228043556213379,-13.778392522573254,75.43100833892822,5.901567220687866,35.67273239835369,0.22142529487609863,3.6480679512023926,-21.52950353296589
6.125442028045654,130000,44.7654569336005,-1.41138635e-05,-0.01965707,-105.189604485704,2.02599835395813,100,12,0.04357028007507324,-13.729178076449678,81.5674364566803,5.820898056030273,28.930161795609934,0.2607088088989258,3.603287696838379,-21.572840996892058
6.533203125,140000,38.61266915116581,-1.4114575e-05,-0.018589659,-141.46320167741248,2.1734819412231445,100,13,0.07858753204345703,-16.092193485099614,88.11280179023743,6.242711782455444,30.407439076803364,0.2115950584411621,3.8670947551727295,-25.60718985006033
6.145630598068237,150000,51.932260591313096,-1.408453e-05,-0.017922983,-99.22664470704942,2.0838208198547363,100,14,0.046195030212402344,-13.401630128509202,94.27019929885864,5.881861686706543,32.1884924394194,0.21733880043029785,3.6049699783325195,-21.54506238452387
5.991762638092041,160000,41.60845280350999,-1.4048477e-05,-0.017016549,-129.55059152323076,2.0009877681732178,100,15,0.04332923889160156,-12.624980822454962,100.27266383171082,5.721210241317749,29.09812433155814,0.22691607475280762,3.533378839492798,-19.671412496276798
6.482130527496338,170000,77.89467241773883,-1.4024774e-05,-0.018269194,-121.42075005692293,2.1812522411346436,100,16,0.08933305740356445,-17.02645574043474,106.76601386070251,6.189825057983398,35.58472812835003,0.2026963233947754,3.8054351806640625,-26.451909852444345
6.344512462615967,180000,55.1018789352586,-1.3998083e-05,-0.018305892,-124.498462030583,2.1282074451446533,100,17,0.08402395248413086,-14.832521521366306,113.1214907169342,6.043212890625,28.841662007882856,0.2170116901397705,3.7148184776306152,-23.127106569896096
6.294555187225342,190000,73.44579716230109,-1.3965345e-05,-0.017990418,-95.73678115688527,2.105851411819458,100,18,0.04453110694885254,-14.765707516321202,119.42773699760437,6.032171964645386,32.92001277296695,0.2176227569580078,3.730301856994629,-22.37594994216643
6.134751558303833,200000,57.55608759522952,-1.3946857e-05,-0.01903115,-98.03143612560143,2.04915189743042,100,19,0.04190182685852051,-12.70253087255892,125.57210993766785,5.881525754928589,28.013975232333532,0.21114134788513184,3.6414215564727783,-20.378835350096647
5.840613842010498,210000,23.840166740553936,-1.39074045e-05,-0.018415887,-101.35631465965017,1.932476282119751,100,20,0.0828695297241211,-10.522499551751586,131.42421627044678,5.547001838684082,25.94699972116342,0.21053385734558105,3.4244697093963623,-16.740789469841275
