train-MaxReturn,LossAfter,n_timesteps,Time-Optimization,Itr,ItrTime,Time,train-PolicyExecTime,train-StdReturn,Time-SampleProc,train-MinReturn,Time-Sampling,train-AverageDiscountedReturn,train-EnvExecTime,train-AverageReturn,train-NumTrajs,LossBefore
27.483442914985616,0.015534962,10000,2.370429277420044,0,26.61673665046692,26.61674928665161,14.762091636657715,7.891417219758723,0.2882843017578125,-4.688370268203859,23.955950260162354,6.616500882898743,8.467446327209473,10.115928201833519,100,-1.418023e-05
27.827415823240838,-0.005262821,20000,1.234222650527954,1,25.121877431869507,51.833475828170776,14.690974950790405,7.945403285148082,0.17325568199157715,-5.6168625190567445,23.713316679000854,5.9347500384121075,8.32074785232544,10.246674205972841,100,-1.4231665e-05
30.786667754924636,-0.01213195,30000,1.1255571842193604,2,25.510222673416138,77.41153144836426,14.91370940208435,5.56915381995688,0.12151813507080078,-0.4111114361724612,24.2623393535614,13.047319823640207,8.62835144996643,20.705715791238394,100,-1.425076e-05
29.03951204019986,-0.005022381,40000,1.1190185546875,3,25.522981643676758,103.0059232711792,14.872064352035522,4.174976312750661,0.1254274845123291,1.4974010202391652,24.276936531066895,14.085901943336673,8.67483377456665,22.0855192597943,100,-1.42268555e-05
31.808577970300636,-0.008347757,50000,1.0982656478881836,4,25.620786428451538,128.70042300224304,14.769384384155273,3.2070861135959015,0.15072274208068848,15.941514084804197,24.370036363601685,17.76926356385265,8.868034362792969,25.331280463770664,100,-1.4170318e-05
31.516429857439775,-0.0037481682,60000,1.1049683094024658,5,26.18357229232788,154.95456957817078,15.109569072723389,2.67997433798499,0.14249062538146973,16.917236565395086,24.934778690338135,18.2504752284543,9.091184139251709,25.613269332135616,100,-1.4126627e-05
31.03532673645272,-0.0038076593,70000,1.1173875331878662,6,25.81453013420105,180.82916164398193,14.779084920883179,1.908007145885641,0.13348078727722168,21.654069588401313,24.56298804283142,19.69797590050146,9.057603359222412,26.591278358219895,100,-1.4073424e-05
31.980589932200967,-0.003916296,80000,1.123544692993164,7,25.813063859939575,206.71307229995728,14.850851058959961,2.2897962373636447,0.11790657043457031,21.924794279181494,24.57081651687622,20.37578089826496,9.003328084945679,27.090538845681987,100,-1.4036085e-05
31.527884480086556,-0.004778642,90000,1.1352667808532715,8,25.667377471923828,232.44964289665222,14.706764936447144,2.2285957584088925,0.11707067489624023,21.160650379239833,24.413728952407837,20.338495296809107,8.990095615386963,26.871959818320715,100,-1.3994942e-05
31.723339377130213,-0.004815286,100000,1.128582239151001,9,25.80510377883911,258.3219268321991,14.731971502304077,2.1554060086072595,0.12662458419799805,20.84558121146551,24.54878807067871,20.663779747253766,9.09114384651184,27.035796812021616,100,-1.3934815e-05
32.12555566083827,-0.0038334986,110000,1.1343071460723877,10,25.828312635421753,284.2218451499939,14.727465629577637,2.5794003673555874,0.11952853202819824,20.639679407296025,24.573697566986084,20.921950759528226,9.119348764419556,27.19093481924045,100,-1.3882291e-05
33.49709646081297,-0.003976361,120000,1.1513378620147705,11,25.910387992858887,310.2054388523102,14.769166231155396,2.469135460645982,0.15122461318969727,21.93055658475826,24.606868505477905,21.325906543677306,9.117351531982422,27.52552075695137,100,-1.38318055e-05
32.84902711775699,-0.0024659743,130000,1.1048941612243652,12,25.89412498474121,336.1687514781952,14.75591254234314,1.8748228435957877,0.12578845024108887,23.959748065291265,24.66207718849182,21.859692824484082,9.193801164627075,28.04507114902286,100,-1.3787416e-05
33.54316847294161,-0.0057257595,140000,1.1049387454986572,13,25.932652711868286,362.16753578186035,14.823671340942383,2.067971023162209,0.13279390335083008,21.899477059705607,24.693920850753784,21.938073961674135,9.146974086761475,28.068385300905558,100,-1.3732026e-05
31.34684637137762,-0.0047809356,150000,1.099489450454712,14,26.04354691505432,388.2815115451813,14.870219469070435,1.8825349079704,0.11618471145629883,23.35834987438509,24.825825214385986,21.944712574702944,9.216195821762085,28.18323205721259,100,-1.3680693e-05
32.80842851444566,-0.0026867285,160000,1.129824161529541,15,26.028310775756836,414.3739233016968,14.801758050918579,2.1465788186675248,0.12488341331481934,23.282082515190382,24.772796630859375,22.21570118799194,9.239216566085815,28.393785417225786,100,-1.3621738e-05
32.1301727403674,-0.0025808604,170000,1.1347882747650146,16,26.10675048828125,440.5402555465698,14.927350282669067,2.1338474015486337,0.1260974407196045,22.78068754347393,24.844899892807007,22.13585909020305,9.193694829940796,28.324500057290106,100,-1.3583303e-05
33.73605282560935,-0.0048245224,180000,1.0855135917663574,17,25.894640922546387,466.5038459300995,14.746660709381104,1.8303141996497616,0.12718868255615234,24.52820064515152,24.68081521987915,22.937275180932005,9.205739498138428,29.26864370910324,100,-1.354505e-05
33.09145621105998,-0.0049303086,190000,1.1254346370697021,18,26.037885427474976,492.6066246032715,14.749247074127197,1.994922499296224,0.1469283103942871,20.47856421612404,24.764564514160156,22.974032354065866,9.281055688858032,29.096250019129787,100,-1.3499865e-05
33.17230490504166,-0.003258735,200000,1.1228985786437988,19,25.99735999107361,518.67347240448,14.797929525375366,1.8848436875755696,0.12388730049133301,22.84250070954381,24.749651432037354,23.120990648939646,9.226408243179321,29.33588225321084,100,-1.3481018e-05
32.84945542033217,-0.0031769054,210000,1.061314582824707,20,26.002241373062134,544.7440779209137,14.909751415252686,1.7517194132856115,0.11383461952209473,23.75378866451531,24.826480627059937,22.99845947590094,9.195636987686157,29.25589673218592,100,-1.3387344e-05
