n_timesteps,train-MaxReturn,train-StdReturn,train-MinReturn,LossAfter,Time-Sampling,ItrTime,Itr,Time,train-AverageReturn,Time-Optimization,train-AverageDiscountedReturn,train-PolicyExecTime,LossBefore,train-EnvExecTime,Time-SampleProc,train-NumTrajs
580000,244.62262261902842,18.039069509424337,58.83698482167833,-0.0037816528,25.873215198516846,27.05998730659485,57,1575.701375246048,224.5346238848979,1.0778307914733887,129.21004825358426,13.965373516082764,-0.0025201903,11.212512493133545,0.10822892189025879,100
590000,237.38508846686946,5.493942764553646,212.45919220991195,-0.0012110083,25.874383211135864,27.070555925369263,58,1602.8371059894562,224.53187506762487,1.0802710056304932,129.42349539350445,14.025757312774658,-1.5258789e-09,11.154865264892578,0.11516284942626953,100
600000,243.89674959371362,5.863583951608011,210.63364747474407,-0.0031628173,25.781269311904907,26.971701860427856,59,1629.8695743083954,226.0223444917214,1.0781800746917725,130.16305710271428,14.020642518997192,-1.8310548e-08,11.07004451751709,0.11158943176269531,100
610000,247.52142508720053,7.259885303447319,186.72167748277542,-0.004491185,25.871153593063354,27.04673147201538,60,1656.9777925014496,226.81325167132064,1.0608046054840088,130.50978755107627,14.043838739395142,6.866455e-09,11.140876054763794,0.11414074897766113,100
620000,260.6958351067727,7.227975281174792,212.63921737801073,-0.004450063,25.835936069488525,27.051677465438843,61,1684.0886235237122,226.63955988278977,1.0729961395263672,130.39759541414335,14.095856666564941,6.866455e-09,11.049900531768799,0.14211392402648926,100
630000,245.5921110067308,6.823367538554191,210.970017458722,-0.0026573571,25.663308143615723,26.95521306991577,62,1711.1051483154297,227.49419713050978,1.1129555702209473,130.78112965588562,13.939018487930298,-5.865097e-09,11.031080722808838,0.17677021026611328,100
640000,245.82096355853403,17.908594955501304,63.94267197658938,-0.0035084777,25.30762028694153,27.024139404296875,63,1738.1903777122498,227.50722109199216,1.5139715671539307,130.6101319118774,13.702358484268188,-0.0027559358,10.919394493103027,0.20174717903137207,100
650000,248.2951981497897,8.75251763835545,190.64664916130837,-0.0022660706,25.22419238090515,26.6927170753479,64,1764.944183588028,229.49426592506094,1.3534855842590332,131.74008486194202,13.62926197052002,-9.155274e-09,10.910461664199829,0.11409330368041992,100
660000,249.8579922965777,10.676929882828246,152.45917887245315,-0.0031720458,25.566636562347412,26.724332332611084,65,1791.7465603351593,229.07558874743688,1.047670602798462,131.56206190059473,13.940766334533691,-3.0517577e-09,10.941642761230469,0.10938000679016113,100
670000,246.1513008353421,9.60723336535099,174.42255716713862,0.0011800415,25.75376582145691,26.95053505897522,66,1818.7594497203827,229.65166314311847,1.0745086669921875,131.9267894197327,14.058185338973999,-1.2207031e-08,11.009104490280151,0.12159442901611328,100
