ItrTime,LossBefore,n_timesteps,Time-SampleProc,Time-Optimization,train-MinReturn,Time,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-NumTrajs,train-EnvExecTime,train-StdReturn,Itr,LossAfter,train-MaxReturn,Time-Sampling
7.503433704376221,-7.805715e-06,1380000,0.0963754653930664,0.24600911140441895,231.70958883327899,1019.9129047393799,145.10542418791374,263.5239949322026,4.056739568710327,100,2.8808116912841797,8.30305061696142,137,-0.0042167553,274.2014482285336,7.153345108032227
7.42903208732605,-7.746496e-06,1390000,0.04245448112487793,0.25463080406188965,190.17541242790745,1027.3546998500824,145.57816583785467,264.49388208112856,4.070870876312256,100,2.846604824066162,9.472352278324074,138,-0.0025076878,273.8687428402716,7.131655693054199
7.051752090454102,-7.68589e-06,1400000,0.0807642936706543,0.23317646980285645,159.4037259114492,1034.4176564216614,146.62191831065695,266.7189491083677,3.8339827060699463,100,2.6973633766174316,11.951597397761507,139,0.0016037553,277.0011528113527,6.737359523773193
7.071669340133667,-7.6433535e-06,1410000,0.04008674621582031,0.2503979206085205,243.786403477092,1041.5004196166992,147.080959465293,267.85171065692043,3.866943359375,100,2.7069251537323,4.756117765358587,140,0.0031708893,277.59439595396276,6.7809062004089355
7.22736930847168,-7.604231e-06,1420000,0.04367542266845703,0.24393057823181152,251.47079683134666,1048.7391519546509,147.67229010555405,269.4600586307552,3.9405574798583984,100,2.78879976272583,4.375326687618155,141,0.00059969304,277.5747279655223,6.939434051513672
7.277811765670776,-7.532031e-06,1430000,0.08059430122375488,0.2218761444091797,254.9656049198165,1056.0290455818176,148.2483420092499,270.38122859399107,3.9692952632904053,100,2.7929112911224365,4.5767807000304295,142,-0.0032584977,278.42540652585996,6.975066661834717
6.872563123703003,-7.476377e-06,1440000,0.04336404800415039,0.2386763095855713,143.84441673046433,1062.9119625091553,148.17056482038925,269.53999822590873,3.7890567779541016,100,2.6025049686431885,14.403184179517115,143,-0.0021013063,278.01559700445546,6.590219259262085
8.00669002532959,-7.4190757e-06,1450000,0.04344892501831055,0.24335765838623047,253.25133218806144,1070.9299936294556,148.24116227788528,270.1772824260415,4.447533130645752,100,3.0371809005737305,5.676169725512596,144,0.0057362155,280.3480071621492,7.719653129577637
7.379697799682617,-7.388498e-06,1460000,0.044336557388305664,0.24624300003051758,162.8697989508201,1078.3212356567383,148.2011191100121,269.62445323745123,4.041348695755005,100,2.8340556621551514,15.550094369927233,145,-0.0029045043,282.44099822837217,7.088886260986328
7.3933093547821045,-7.356495e-06,1470000,0.04536080360412598,0.2465965747833252,256.49671515540024,1085.7261445522308,149.10400581291623,271.72536000576025,4.041966199874878,100,2.8437323570251465,3.4835413423340684,146,-0.0019015274,278.82146561101666,7.100986480712891
7.11348295211792,-7.312519e-06,1480000,0.04720664024353027,0.24153876304626465,250.12030519910937,1092.8498063087463,148.5443030202691,270.05552729613845,3.895900011062622,100,2.720388412475586,4.827360201512804,147,0.009332129,277.17605974134335,6.824525833129883
7.512580394744873,-7.2428493e-06,1490000,0.04379415512084961,0.2770822048187256,262.4902361529357,1100.373591184616,148.673894948407,270.9314378513657,4.06713342666626,100,2.905057191848755,2.77916368370223,148,-0.0042929905,276.8726872885622,7.191296815872192
7.4650719165802,-7.184415e-06,1500000,0.05666160583496094,0.2936997413635254,169.41863441617727,1107.8529603481293,148.02829849350599,269.19582693092093,4.0194251537323,100,2.8766446113586426,14.1596027937305,149,0.006485239,279.41444969278234,7.114287614822388
7.00126314163208,-7.115666e-06,1510000,0.08121347427368164,0.29256200790405273,147.37675826508246,1114.8653182983398,147.6476600012119,267.900504834364,3.7537307739257812,100,2.6679885387420654,16.671170873502383,150,-0.004146797,277.607364375443,6.6262171268463135
