Itr,Time-Sampling,n_timesteps,train-NumTrajs,Time-Optimization,train-PolicyExecTime,LossAfter,Time-SampleProc,train-AverageDiscountedReturn,Time,train-AverageReturn,train-MinReturn,ItrTime,LossBefore,train-EnvExecTime,train-MaxReturn,train-StdReturn
0,22.246577739715576,10000,100,2.1035306453704834,13.57519268989563,-4.1015215,0.06265878677368164,-1.0916153265972506,24.414321184158325,-1.1296269201880604,-8.979952215991482,24.414312839508057,0.008509131,8.019440412521362,4.680881063015412,2.9030954491279233
1,22.200087785720825,20000,100,1.2988340854644775,13.599611759185791,0.13196856,0.06062817573547363,3.325538069677334,48.12834811210632,5.463340659496981,-5.473826314869239,23.562161684036255,0.006007889,7.936786651611328,15.686420430509823,4.2529145373373805
2,22.579352140426636,30000,100,1.3104007244110107,13.8527193069458,-0.121303245,0.06175661087036133,9.858961735038271,72.14335703849792,16.21195151381271,1.9867079038497883,23.95259189605713,-0.0039620665,8.049165725708008,31.894682486256954,8.239726119136234
3,23.347620010375977,40000,100,1.0659103393554688,14.037436962127686,-1.5017825,0.0475766658782959,18.024119470650852,96.67007732391357,25.90276842357494,6.934022767064725,24.461780786514282,0.02048411,8.628185272216797,33.23567820586083,4.217897960764996
4,23.56868052482605,50000,100,1.0715348720550537,14.009498119354248,-2.0426939,0.039560794830322266,15.441678131061074,121.41262936592102,18.84939979237489,9.135877171633698,24.68058180809021,-0.004765347,8.869467496871948,31.375673768429593,4.500465465173284
5,23.602060794830322,60000,100,1.0514051914215088,14.055625200271606,-2.752516,0.036448001861572266,6.37110716210788,146.1630346775055,3.8351139471230935,-8.120943243554448,24.690657377243042,0.0089730285,8.863840818405151,22.096040671248893,4.954251804948472
6,23.579601049423218,70000,100,1.0593407154083252,14.042776346206665,-5.2513795,0.041121482849121094,-1.1753039144707855,170.902747631073,-6.50875517412494,-12.831631633832664,24.680797576904297,0.016477784,8.860777854919434,4.748778836717141,3.070081735360802
7,23.76417064666748,80000,100,1.0525519847869873,14.04072880744934,-6.424271,0.039437055587768555,-4.926736705136064,195.81963896751404,-12.135163040809381,-15.586338566420237,24.856863260269165,0.006343099,9.036073446273804,-7.163678506514106,1.9061869380772685
8,23.660027027130127,90000,100,1.0953481197357178,14.032739877700806,-3.2677593,0.05052781105041504,-3.9173251105473765,220.68572616577148,-11.4540261854088,-16.875293568379202,24.806498527526855,-0.00059624633,8.946189880371094,8.338801184546927,3.4129744470775236
9,23.701171159744263,100000,100,1.0705645084381104,14.092262029647827,-2.1522636,0.0415346622467041,-3.870183239362061,245.56614756584167,-10.486190309538612,-15.302381410154373,24.81388807296753,0.00068630755,8.923517942428589,-4.3790896113222395,2.057245618424878
