train-PolicyExecTime,Time-Optimization,train-AverageReturn,n_timesteps,LossBefore,ItrTime,Time,Time-SampleProc,train-AverageDiscountedReturn,LossAfter,Time-Sampling,train-MinReturn,train-EnvExecTime,Itr,train-NumTrajs,train-MaxReturn,train-StdReturn
8.388641119003296,0.9531850814819336,-2.0099098604719625,10000,-1.4226006e-05,13.732213735580444,13.732214212417603,0.07534933090209961,-1.4176021554984957,0.0017414651,12.703335285186768,-11.452974124822477,3.948523759841919,0,100,18.343158840652116,5.122400063521395
5.956032752990723,0.4120614528656006,-1.3212701963308588,20000,-1.41806895e-05,9.819348812103271,23.65011739730835,0.04937481880187988,-0.43532763508095085,-0.0013661392,9.357349634170532,-10.045667049676453,3.109787940979004,1,100,17.263277476932867,5.4601441160044635
7.3303773403167725,0.43431830406188965,2.501394111862687,30000,-1.41983e-05,12.015552043914795,35.67796063423157,0.03174281120300293,1.5135171101330687,-0.0016540631,11.54918909072876,-13.840513125610237,3.8633477687835693,2,100,21.213768897145183,6.939128618752187
5.972423553466797,0.4245278835296631,12.818115992542907,40000,-1.41949795e-05,9.74167537689209,45.44634509086609,0.04047870635986328,7.840519392216213,-0.008106585,9.27625036239624,-5.524028789828001,3.0214831829071045,3,100,27.23084087586334,8.638170562931974
3.5940773487091064,0.22160553932189941,19.638182386958878,50000,-1.4125933e-05,6.006437063217163,51.48316407203674,0.05193185806274414,12.66046658201823,-0.005295723,5.732346534729004,-3.708815248831309,1.9496705532073975,4,100,33.6650956095479,7.320144564550322
7.035275936126709,0.379894495010376,23.63699401180314,60000,-1.4097483e-05,10.47191071510315,61.964197635650635,0.09791684150695801,16.469058460397747,-0.005662487,9.993776082992554,-1.2185569416206035,2.694206714630127,5,100,31.358370695478186,5.178660303811805
5.386980056762695,0.272418737411499,25.063242736014725,70000,-1.4063199e-05,8.622809648513794,70.60256028175354,0.07205367088317871,17.85341176418518,-0.004492101,8.277960777282715,13.452388979887468,2.6400067806243896,6,100,31.01215942723669,3.438873336542142
5.414848566055298,0.4063849449157715,26.253757057583115,80000,-1.4015408e-05,8.898415803909302,79.51682090759277,0.03804969787597656,19.048394786179387,-0.003904299,8.453679323196411,16.024770568036736,2.7873871326446533,7,100,31.55253183997664,2.920425218265099
8.323423624038696,0.3363065719604492,26.978445428873,90000,-1.3978183e-05,12.385968208312988,91.91883254051208,0.03877663612365723,20.031628603976323,-0.0032430266,12.010082483291626,15.287478165197982,3.3745226860046387,8,100,30.925716178124613,2.3795856709201377
5.227242469787598,0.3150944709777832,26.81260650323604,100000,-1.3899924e-05,8.475657939910889,100.411208152771,0.03326988220214844,19.846081928196803,-0.0035686954,8.126851081848145,12.804663158032513,2.654280185699463,9,100,31.823012528012526,2.656040324799841
3.5887703895568848,0.28502726554870605,27.248956655373682,110000,-1.3868213e-05,6.156776666641235,106.58121037483215,0.029549598693847656,20.505939354403587,-0.0017391397,5.841787099838257,21.74116108502593,2.0609564781188965,10,100,31.424166396522292,1.9643875190503592
6.196610927581787,0.31434106826782227,27.64979753661904,120000,-1.3824187e-05,9.6885826587677,116.28678464889526,0.03800225257873535,20.92292490668694,-0.0028856937,9.335303783416748,22.34419580365696,2.8553242683410645,11,100,32.221483112698614,1.5561257670148643
6.265454292297363,0.5040397644042969,27.608299319473428,130000,-1.3771595e-05,10.45850419998169,126.75878834724426,0.06968522071838379,21.150456509837824,-0.001707825,9.883730411529541,14.24132905368042,3.324427843093872,12,100,31.26925912274263,2.1933481975988394
7.035494089126587,0.2548048496246338,27.837825664989634,140000,-1.3711776e-05,10.80623173713684,137.60411858558655,0.0338132381439209,21.61282263485607,-0.001395999,10.51709246635437,21.54467551905156,3.19454026222229,13,100,31.775252804855995,1.7534933378903272
8.481829404830933,0.38814282417297363,27.908809718892766,150000,-1.3653483e-05,12.538481950759888,150.15352058410645,0.028606653213500977,21.51754759846965,-0.0024304166,12.121053218841553,14.904818867575514,3.316875457763672,14,100,31.75931170796868,2.126960719491701
4.871008396148682,0.34363865852355957,28.235008685817224,160000,-1.3641262e-05,8.104215383529663,158.28539371490479,0.03679060935974121,21.96822809745915,-0.002747714,7.723451137542725,24.40007488868946,2.6179752349853516,15,100,31.08632997713086,1.3592943265808544
9.534624099731445,0.3793632984161377,28.39219141916515,170000,-1.3601459e-05,15.25667405128479,173.5647258758545,0.05552220344543457,22.150887332985874,-0.00133495,14.820854663848877,24.60355899966842,4.846479177474976,16,100,31.362839886192038,1.4294583503693423
12.620656728744507,0.284099817276001,28.52380297544245,180000,-1.356178e-05,18.2566020488739,191.84085297584534,0.07030320167541504,22.44504937189093,-0.0015429406,17.901686668395996,24.137980714842595,4.847296476364136,17,100,31.98815089989177,1.4917685253307242
6.304786920547485,0.3368062973022461,28.31793988097193,190000,-1.3521677e-05,10.158602714538574,202.01447439193726,0.10915207862854004,22.14977286082457,-0.0015254737,9.712278604507446,23.07534926851389,3.111581802368164,18,100,31.70563269025452,1.6031323233064347
4.1989452838897705,0.24802112579345703,28.55388095967576,200000,-1.3494868e-05,7.008481979370117,209.03625321388245,0.029488086700439453,22.43406405621437,-0.0014344307,6.730625867843628,22.968123222089808,2.3196802139282227,19,100,32.917314644876086,1.5507639421819748
6.11024808883667,0.5268151760101318,28.435236148348604,210000,-1.3444481e-05,10.285440683364868,219.33162879943848,0.07246065139770508,22.44040884265733,-0.0021452978,9.685597896575928,24.563364376354723,3.274024724960327,20,100,31.182390622216047,1.3141096011218343
10.276564598083496,0.4927983283996582,27.97701275268589,220000,-1.3406807e-05,15.829432487487793,235.2139813899994,0.10680580139160156,22.14388555155337,-0.0018362537,15.228715896606445,8.506081432085784,4.53702187538147,21,100,31.53741673427091,2.596544280503316
8.34782338142395,0.2557864189147949,28.551534796857315,230000,-1.334717e-05,13.162358045578003,248.39806127548218,0.05272388458251953,22.58590611350764,-0.00282134,12.853353261947632,24.685402707822895,4.128960371017456,22,100,31.57714456766327,1.292816159561803
5.624028921127319,0.2691528797149658,28.685177372608663,240000,-1.3291089e-05,8.946333408355713,257.35414600372314,0.05234932899475098,22.737017213636012,-0.0016959467,8.624452114105225,22.882310506811823,2.7362074851989746,23,100,31.750192559064484,1.4010206650243922
5.18713641166687,0.35446858406066895,28.641641304603677,250000,-1.3256182e-05,8.384953737258911,265.75084257125854,0.03311657905578613,22.723950855512726,-0.0019912487,7.996953248977661,12.478957739955337,2.5666708946228027,24,100,31.860370188385755,2.016837911083861
6.061971426010132,0.37078356742858887,28.89469745497472,260000,-1.3222903e-05,9.859664916992188,275.6227197647095,0.05367779731750488,22.985065673902977,-0.0016530982,9.43449354171753,25.524856987096815,3.0876963138580322,25,100,32.23465557299788,1.412534011879078
7.190098524093628,0.2733802795410156,28.87251227050167,270000,-1.3185715e-05,11.635387897491455,287.28117179870605,0.06590890884399414,22.895050138672676,-0.0010162041,11.294816255569458,23.888808930533337,3.7716987133026123,26,100,31.537302946236252,1.4758138889384735
6.2803263664245605,0.2985661029815674,28.79136312336131,280000,-1.3155424e-05,9.677584886550903,296.9734694957733,0.0344996452331543,23.01890747289604,-0.0019365835,9.344211339950562,17.650323450270186,2.80668044090271,27,100,32.198539882743695,1.782467158341939
