Time-Sampling,train-StdReturn,train-NumTrajs,train-AverageReturn,Time-Optimization,train-EnvExecTime,Time,LossAfter,Time-SampleProc,ItrTime,train-MaxReturn,LossBefore,n_timesteps,train-MinReturn,train-PolicyExecTime,Itr,train-AverageDiscountedReturn
22.026588201522827,3.4745982302981395,100,-2.223447084168658,1.945007562637329,7.87272834777832,24.147475481033325,-0.30643702,0.17447352409362793,24.147465229034424,6.666623688518042,0.01390918,10000,-11.752141978961877,13.495455026626587,0,-1.7409730753442938
22.488508701324463,7.6064864313336775,100,22.527695681706792,1.1937026977539062,8.218726634979248,48.07910346984863,-0.35232598,0.10716438293457031,23.790842533111572,36.08681513149089,-0.01509079,20000,2.5536066310174084,13.604282140731812,1,15.783837480802772
23.535181045532227,3.3787367835077884,100,26.61562592515068,1.6437032222747803,8.82969331741333,73.50355553627014,-0.06810412,0.11591720581054688,25.295809984207153,32.94765059178334,0.0010000111,30000,17.55804708683962,14.027908563613892,2,21.109988438801295
23.250823259353638,4.576195926006877,100,23.961101606955864,1.2222506999969482,8.864891052246094,98.20740723609924,-0.019166993,0.1217803955078125,24.59673500061035,31.65357665626575,0.033178423,40000,11.540388179422719,13.702709913253784,3,19.211263798252933
23.503194332122803,3.3487148838013634,100,24.405660715968008,1.0969505310058594,8.946861505508423,123.01414895057678,-0.014769391,0.11022353172302246,24.71139883995056,30.396247635173786,0.013073151,50000,16.31095828788939,13.87271785736084,4,19.457492511959384
23.63413667678833,3.1777886410911766,100,25.372009340254404,1.08668851852417,8.960639953613281,147.92699766159058,-0.06362934,0.11516451835632324,24.83671474456787,30.10994170874643,0.01838568,60000,17.50548830364604,13.990227699279785,5,20.237462964116816
23.618419408798218,2.3746408408212565,100,26.180728654594823,1.0645060539245605,8.954338073730469,172.77863121032715,-0.034409303,0.10772228240966797,24.791314125061035,30.138070075575158,0.027283642,70000,18.813497892815697,13.982337236404419,6,20.930693186412874
23.747196197509766,1.9966779827352583,100,27.030988550202768,1.052389144897461,9.019180536270142,197.7573492527008,-0.034546413,0.11626529693603516,24.91652536392212,32.135722724683504,-0.020284155,80000,22.743516493961735,14.03691840171814,7,21.34734132354825
23.757261514663696,1.8555401721923426,100,27.588796480463294,1.0646920204162598,9.029050588607788,222.74887204170227,-0.040141974,0.10577011108398438,24.928414344787598,31.882850140828737,-0.012603315,90000,21.260796175929364,14.035461664199829,8,21.81915610145817
23.788875341415405,1.4812623399457268,100,27.746478252616427,1.0387897491455078,9.058375120162964,247.77056097984314,-0.05638247,0.13382840156555176,24.962259531021118,31.34768589006025,-0.015037927,100000,24.2662342687894,14.041027069091797,9,22.206532639006177
23.686995029449463,1.20535782884079,100,27.689275751465185,1.0639448165893555,9.048854351043701,272.6987099647522,-0.058506615,0.11161971092224121,24.86320686340332,30.18431718890269,-0.009428455,110000,24.76899449249229,13.951436519622803,10,22.489032830038646
23.807148456573486,1.3140332148493603,100,27.67044382226473,1.0922083854675293,8.997642993927002,297.7761332988739,-0.02038697,0.11785769462585449,25.017932891845703,30.7873524937549,-0.008815405,120000,24.479912239013906,14.127605438232422,11,22.430317648867145
23.748375415802002,1.786340305564981,100,28.080059954895347,1.0168547630310059,8.98490309715271,322.7078561782837,-0.015215247,0.10744690895080566,24.873337507247925,32.0018667751463,-0.00549668,130000,23.175479576418958,14.06342363357544,12,22.591816789148858
23.922275066375732,1.4180004769562276,100,27.913071963045724,1.0635290145874023,9.042753458023071,347.8675043582916,-0.024270477,0.11452269554138184,25.100977897644043,32.02316762993724,-0.009532483,140000,24.815702801013256,14.186062335968018,13,22.54903742561577
23.680362701416016,1.2904696580096364,100,28.011442174691766,1.0373570919036865,9.017056226730347,372.783855676651,-0.08564115,0.13735198974609375,24.85576629638672,30.924609690101526,-0.0040274416,150000,24.83117709314896,13.977564573287964,14,22.84997097723241
23.809534549713135,1.2787109987962477,100,27.873596984602383,1.0506818294525146,9.092824935913086,397.82220435142517,-0.008109785,0.11607480049133301,24.97685694694519,30.941306134139765,0.00041522292,160000,24.49925071479558,14.024722576141357,15,22.645556549319416
23.783775091171265,1.0267933077766018,100,27.72056002781339,1.0577290058135986,9.061931133270264,422.8324511051178,-0.07342423,0.10594701766967773,24.9482421875,30.093394091574723,-0.0110901715,170000,25.388474084959682,14.025038719177246,16,22.428226109945467
23.825601816177368,1.0165155978804747,100,27.75517868432037,1.080439805984497,9.044718027114868,447.9107913970947,-0.100594595,0.11268234252929688,25.01970887184143,30.06644226130419,0.009518643,180000,25.368467863733855,14.070104598999023,17,22.912212643464432
23.71861743927002,1.5853245485950198,100,28.645160142316264,1.072535753250122,8.979762077331543,472.8751847743988,-0.088571735,0.10959339141845703,24.9013249874115,32.49155163512957,-0.0031635377,190000,25.869211264301132,14.047199726104736,18,23.053535219185797
23.668678522109985,1.8920002322473044,100,28.352473536180856,1.0193843841552734,8.974717378616333,497.72773933410645,-0.18109946,0.1076962947845459,24.796501874923706,32.989796518574664,-0.023489466,200000,22.95134166513567,14.002713441848755,19,22.581145864466862
23.86896324157715,3.078639867172702,100,27.782207090315456,1.045140027999878,8.995511770248413,522.8164772987366,-0.14040016,0.11365890502929688,25.02845788002014,32.57285033478537,-0.011588873,210000,16.439209010138164,14.189481019973755,20,22.173756813433037
23.758538007736206,3.96731850032525,100,27.415024998100165,1.0715785026550293,8.985530853271484,547.8112738132477,-0.24972335,0.10611963272094727,24.936949014663696,33.14021385177067,0.011262213,220000,13.682131346566704,14.086653232574463,21,21.919167640804083
