Itr,train-EnvExecTime,Time-Optimization,train-StdReturn,train-NumTrajs,ItrTime,n_timesteps,Time,train-MaxReturn,train-AverageDiscountedReturn,train-PolicyExecTime,train-MinReturn,Time-Sampling,LossBefore,Time-SampleProc,LossAfter,train-AverageReturn
17,3.357067108154297,0.6632702350616455,43.12287017110391,100,10.580010652542114,180000,116.5209093093872,26.37180301769845,-34.7658546826574,6.211684703826904,-175.62498248786224,9.895758867263794,0.0006063843,0.02066493034362793,-0.12688462,-54.837347899568485
18,3.154528856277466,0.5741820335388184,39.381589876612914,100,9.717548370361328,190000,126.26112771034241,27.968705621124496,-33.756706844211934,5.64842963218689,-215.25855378986515,9.113629341125488,-0.026329322,0.0260622501373291,-0.13085242,-54.5535782989738
19,2.513615846633911,0.49376583099365234,40.87923681165269,100,7.57116961479187,200000,133.85325121879578,14.433104526075766,-35.57007257621919,4.309362888336182,-172.08586624000466,7.060927629470825,-0.019727113,0.01625680923461914,-0.14406216,-56.20309270029033
20,2.6311533451080322,0.6386861801147461,37.10004722550947,100,8.02677845954895,210000,141.89798045158386,4.284342232316739,-32.326135134994495,4.478714466094971,-216.21978651986674,7.3634562492370605,-0.0059563234,0.024043560028076172,-0.09170899,-52.86800227845256
21,2.994816303253174,0.5135838985443115,32.15690870682485,100,8.869136333465576,220000,150.79268717765808,26.427012787405157,-26.84131968876674,5.06912636756897,-130.08547889352718,8.344985961914062,-0.03528512,0.010330915451049805,-0.1618957,-41.9564943855139
22,2.78399658203125,0.537398099899292,30.42437397324436,100,8.368343830108643,230000,159.1811113357544,9.549151620121103,-27.927123642903407,4.757807731628418,-153.99749889204222,7.803920745849609,-0.014485938,0.0267488956451416,-0.23736821,-46.203647974432435
23,2.7628350257873535,0.5559561252593994,32.026914694960716,100,8.379800081253052,240000,167.57843399047852,26.381592200267864,-24.811873225149597,4.772268533706665,-112.52896731032176,7.800491571426392,1.6967773e-05,0.023047447204589844,-0.08107878,-39.75422952106579
24,2.7903385162353516,0.6115715503692627,34.4433007177595,100,8.488597393035889,250000,176.09029150009155,50.22410363688902,-12.21794100237165,4.779413223266602,-104.52563120645429,7.8361592292785645,0.009881543,0.04057478904724121,-0.17535928,-13.825370435208155
25,2.7615764141082764,0.5781676769256592,32.97480617380124,100,8.353071928024292,260000,184.46636319160461,78.22279022513472,-4.123291791555664,4.717029333114624,-85.98073979113047,7.736041307449341,0.030835986,0.038164377212524414,-0.6249961,-0.129124456323411
26,2.7379143238067627,0.5484762191772461,33.258045368345165,100,8.275774955749512,270000,192.76877737045288,69.33015750345693,-5.232461507036643,4.710282325744629,-82.28620556148732,7.706693649291992,-0.01715271,0.020292282104492188,-2.250613,-2.155207606838212
