Time-Sampling,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageReturn,train-MaxReturn,train-NumTrajs,LossBefore,Time,ItrTime,Itr,train-AverageDiscountedReturn,Time-Optimization,n_timesteps,train-MinReturn,train-PolicyExecTime,train-StdReturn
5.465571403503418,0.014969839,0.04692673683166504,1.8551199436187744,9.361399993213881,28.806690014270362,100,-1.4174126e-06,5.998043060302734,5.998039722442627,0,6.855065357564165,0.4851055145263672,10000,-11.305699579266392,3.428436756134033,10.474139955732308
5.297051906585693,-0.004431002,0.038055419921875,1.8125324249267578,8.525712283413041,28.0576036357435,100,-1.4189854e-06,11.627739429473877,5.611734628677368,1,5.5796083798274205,0.2763350009918213,20000,-10.980949226049903,3.3044090270996094,8.362217988865016
5.287525415420532,-0.005983671,0.03416252136230469,1.8197295665740967,10.73731635040473,29.417950729037912,100,-1.415815e-06,17.3508517742157,5.700842380523682,2,8.0473875306872,0.3786783218383789,30000,-12.725949790814592,3.288731575012207,10.754257246436358
5.316530227661133,-0.008379845,0.05691027641296387,1.8763129711151123,20.711506330342367,31.673301521042553,100,-1.4240572e-06,23.09941029548645,5.735291957855225,3,14.872751372682817,0.36153364181518555,40000,-2.8556550735270387,3.260054349899292,7.24937093269685
5.2315514087677,-0.007008715,0.06599164009094238,1.852912425994873,22.09157923065931,30.9132616564395,100,-1.4190227e-06,28.814704656600952,5.702254056930542,4,16.278085398965246,0.39518260955810547,50000,1.597541554282639,3.2009246349334717,6.666265233183762
5.377749919891357,-0.0065779355,0.08109498023986816,1.9112937450408936,24.475746342499892,32.13825592521269,100,-1.4161101e-06,34.74157214164734,5.913641691207886,5,18.293826473065774,0.4543602466583252,60000,2.8077407271963466,3.2840402126312256,5.404381583188246
8.748270750045776,-0.0055393074,0.11760902404785156,3.122546672821045,26.709861888131428,31.08159582604735,100,-1.4088104e-06,43.86430263519287,9.087334632873535,6,20.09090418038814,0.2208693027496338,70000,10.628892262053196,5.337880849838257,3.1292231858452406
5.331392288208008,-0.00339112,0.07843613624572754,1.8972117900848389,27.2811637270019,31.757462316148796,100,-1.4052204e-06,49.540923833847046,5.667007684707642,7,20.892959012181283,0.2522752285003662,80000,18.9588364551198,3.247432231903076,2.5454719381699293
8.800731658935547,-0.0043332996,0.09662246704101562,3.165478229522705,27.27360383315829,31.302721431351483,100,-1.398673e-06,58.706506967544556,9.156585931777954,8,21.064775903731483,0.2590298652648926,90000,18.80336301391104,5.353306770324707,2.407678770373111
5.406287908554077,-0.0022160623,0.04277825355529785,1.9170095920562744,27.478995345064877,31.198372902236905,100,-1.3992097e-06,64.41811418533325,5.702646732330322,9,21.728184783163893,0.253389835357666,100000,0.32540811788555346,3.3027472496032715,3.2240658320539017
7.31187105178833,-0.0031879034,0.07297086715698242,2.610776662826538,27.18749656283861,31.24525762105896,100,-1.3986465e-06,72.07871961593628,7.651595115661621,10,21.35112204960114,0.2652559280395508,110000,19.323274460187,4.462608814239502,2.1550161035337214
5.212902307510376,-0.0017993832,0.08321523666381836,1.8604018688201904,26.942337493597257,31.707179933758145,100,-1.3916232e-06,77.66901063919067,5.580594062805176,11,21.33750138129614,0.2835695743560791,120000,17.84802096714934,3.174363851547241,2.3895704629498367
5.320988655090332,-0.003568797,0.06046485900878906,1.8949437141418457,27.16922543065948,31.247247010771055,100,-1.3790093e-06,83.40841937065125,5.729963302612305,12,21.53842984956462,0.34818553924560547,130000,18.20520407437545,3.246009588241577,2.235240196936183
5.202507257461548,-0.0018318327,0.11553502082824707,1.8962502479553223,27.25931952613658,31.447858379833416,100,-1.3840648e-06,89.07784962654114,5.660866737365723,13,21.665622371107762,0.3397800922393799,140000,19.585538009965376,3.1298251152038574,2.0192320098414274
5.295175552368164,-0.0024705469,0.12695789337158203,1.8961501121520996,27.9336131421135,33.231698229874425,100,-1.3805603e-06,94.84655666351318,5.759622097015381,14,22.250361210784675,0.336439847946167,150000,21.522465264449036,3.217834234237671,2.045466745068565
6.274532079696655,-0.003192285,0.13410711288452148,2.2132654190063477,27.943998915662114,32.20651152683483,100,-1.3700355e-06,101.62446594238281,6.768941402435303,15,22.280308723493416,0.35626673698425293,160000,21.03851142840021,3.841517448425293,1.953129220368421
6.902180910110474,-0.0025596954,0.04615473747253418,2.4554145336151123,28.06424151177938,31.483147662402967,100,-1.3622819e-06,108.91705083847046,7.282286882400513,16,22.308885596715506,0.33354616165161133,170000,21.99543908367311,4.224219799041748,1.8558483951817473
6.376152753829956,-0.003873742,0.026830673217773438,2.2928295135498047,27.995999635714305,32.19098006573399,100,-1.3658449e-06,115.62499952316284,6.697427034378052,17,22.368674499885916,0.29420971870422363,180000,22.454289724561132,3.8633382320404053,1.9047922870387366
5.32596492767334,-0.0018811899,0.07517719268798828,1.9126665592193604,28.274423184671765,32.53467980927098,100,-1.3610011e-06,121.32437944412231,5.689019680023193,18,22.640830694296692,0.27768921852111816,190000,23.89530862491469,3.234248399734497,1.8539728152561996
5.345756769180298,-0.002687527,0.05505728721618652,1.9225738048553467,28.221452452460618,32.46299848041717,100,-1.352801e-06,127.26157450675964,5.927091121673584,19,22.353977019084546,0.523043155670166,200000,22.703394599713874,3.243546724319458,1.9044612920043371
9.416814804077148,-0.0021112196,0.043320655822753906,3.408357620239258,28.459858414635363,31.853344178072163,100,-1.3505583e-06,137.10675811767578,9.794081211090088,20,22.636091400059183,0.3334081172943115,210000,23.28838531031546,5.710502624511719,1.9272063575300589
