LossAfter,train-AverageDiscountedReturn,train-NumTrajs,ItrTime,train-PolicyExecTime,train-MaxReturn,Time-Optimization,Time-Sampling,n_timesteps,train-MinReturn,Itr,Time-SampleProc,train-AverageReturn,train-StdReturn,Time,train-EnvExecTime,LossBefore
-0.13296953,-1.8453537047214068,100,24.187427520751953,13.446995735168457,9.210831568339888,1.9527392387390137,22.105578184127808,10000,-11.884586088041843,0,0.12807178497314453,-2.29158324794358,3.767108440402267,24.187434911727905,7.991827011108398,6.1035155e-09
-0.02542948,18.557596270315543,100,24.692463397979736,13.7090425491333,37.43302240651587,1.6905608177185059,22.846404314041138,20000,6.612589552424845,1,0.15476417541503906,25.280018910051936,5.291920343613252,49.074451208114624,8.439664840698242,-0.008516974
-0.07803891,19.99515998626439,100,24.928284883499146,13.746708154678345,31.998626676067236,1.5083179473876953,23.304749965667725,30000,10.023573289664029,2,0.11454963684082031,25.231550806609622,4.196851060336874,74.06252098083496,8.86854100227356,6.1035155e-09
-0.005722512,23.02188341196947,100,24.987237453460693,13.701157093048096,31.211695826817138,1.550682783126831,23.316423416137695,40000,24.171496351493552,3,0.11811709403991699,28.758452433528284,1.510962772909139,99.1344666481018,8.931708574295044,-2.2888185e-09
-0.02834157,21.539059837289354,100,25.114310026168823,13.747210502624512,31.374786931767847,1.5339157581329346,23.460649490356445,50000,25.738446633603353,4,0.1188194751739502,28.69729958152513,1.176001239274448,124.34613800048828,9.028480529785156,1.2207031e-08
-0.042433485,22.45115011080833,100,25.06105399131775,13.804775953292847,32.00925452332507,1.4457333087921143,23.47625422477722,60000,25.15879926899941,5,0.1369168758392334,29.41202522638506,1.303047437268789,149.50595211982727,8.98527216911316,7.629395e-09
-0.13961181,22.730354958805602,100,25.331116676330566,13.790241241455078,33.27354998334767,1.725236415863037,23.485671281814575,70000,25.69780545924528,6,0.11957836151123047,29.388998339240903,1.5670576271868897,174.9312436580658,9.003395795822144,-0.012711413
-0.028406128,21.155690943708496,100,24.976176023483276,13.64893364906311,32.704640734152704,1.6398277282714844,23.158337593078613,80000,22.714488573972762,7,0.17685413360595703,28.57673185276294,1.9786476131130155,199.96495580673218,8.818682670593262,7.6293943e-10
-0.011444845,19.31049602445636,100,24.940484762191772,13.770639896392822,31.77545595222844,1.4923207759857178,23.266066312789917,90000,16.635834633552616,8,0.1809225082397461,25.559702474846564,3.307411418396656,224.97303533554077,8.80763578414917,-5.912781e-09
-0.010953138,17.569383964066535,100,24.977494478225708,13.683648347854614,33.34917469560678,1.6996808052062988,23.125153303146362,100000,8.238052360553851,9,0.15206217765808105,25.375503376718797,4.224576958589919,250.01286339759827,8.749387979507446,-3.0517577e-09
-0.121216945,18.80165508565782,100,25.056607007980347,13.71557903289795,31.11484856135135,1.6766924858093262,23.237940073013306,110000,8.180825833689623,10,0.14077973365783691,26.324338506479204,3.3260860112427313,275.1244058609009,8.828964233398438,-4.577637e-09
-0.052803088,21.82690716552058,100,25.07782506942749,13.551188468933105,31.03442781886959,1.707732915878296,23.21644926071167,120000,24.592300992437703,11,0.15292096138000488,28.203235656133508,1.5207139022265177,300.29605436325073,8.977203607559204,1.5258789e-09
0.010142853,22.094226573467655,100,25.186599493026733,13.860957384109497,30.059786530782677,1.409407377243042,23.60306739807129,130000,23.565427818463593,12,0.17273354530334473,27.24791676569275,1.2993414123975244,325.5415062904358,9.046682834625244,-1.5258789e-09
-0.08994564,20.58692173692442,100,25.06251621246338,13.905824422836304,30.663141756735467,1.287597417831421,23.591840744018555,140000,20.76534301822775,13,0.18035030364990234,25.817170532239484,2.239937113251879,350.66475081443787,8.98938274383545,-1.5258789e-09
-0.043046065,22.726163343576413,100,24.962677001953125,13.863888263702393,30.092689357040392,1.18479323387146,23.626960515975952,150000,25.269524810024592,14,0.149733304977417,27.66097572500267,0.9776861531277762,375.6870675086975,9.0675687789917,4.577637e-09
-0.05378459,22.694453261983593,100,25.043272972106934,14.057111501693726,29.154248261603755,1.0584399700164795,23.87292194366455,160000,25.977495188411837,15,0.11125922203063965,27.546494130901714,0.7341035918711215,400.7906217575073,9.120714902877808,-6.1035155e-09
0.012681773,22.99331402775954,100,25.037819862365723,14.090405225753784,31.453289750630244,1.0588641166687012,23.83280873298645,170000,24.097154956825776,16,0.14546918869018555,27.998726090756527,1.1795951433855403,425.8906638622284,9.047523260116577,2.3651124e-08
-0.039897386,22.189209225450842,100,24.852519989013672,13.984429597854614,31.045783153956222,1.0440189838409424,23.700498819351196,180000,18.465487852986975,17,0.10705184936523438,27.491298140172518,1.7648104224030696,450.8037805557251,9.017709255218506,6.1035155e-09
-0.016539816,23.121211983781286,100,25.090262413024902,14.04895544052124,30.372839996262865,1.0773351192474365,23.896212816238403,190000,25.642640574161433,18,0.11601567268371582,27.98528236526853,1.0348712958181863,475.95337414741516,9.140403747558594,-4.9591065e-09
-0.02222967,22.57472673750185,100,25.10737156867981,14.057783603668213,28.997211337546098,1.0748755931854248,23.923057079315186,200000,25.869882170749506,19,0.10876965522766113,27.381821264501593,0.7021547323845075,501.1196668148041,9.159538984298706,1.6784668e-08
-0.11561948,22.58069563310952,100,25.17858910560608,14.093737125396729,29.46517558298001,1.0771713256835938,23.969032764434814,210000,25.57056351184343,20,0.13183379173278809,27.29158872425431,0.7563497837794123,526.363320350647,9.176477670669556,-9.918213e-09
