Itr,LossBefore,train-MinReturn,n_timesteps,train-NumTrajs,train-AverageDiscountedReturn,Time-SampleProc,Time,train-MaxReturn,train-StdReturn,train-AverageReturn,Time-Sampling,ItrTime,Time-Optimization,LossAfter,train-EnvExecTime,train-PolicyExecTime
0,-1.41924365e-05,-9.142828786022926,10000,100,7.107587902352883,0.06519222259521484,13.879243612289429,28.87337477434695,10.343772307275806,10.21469475892171,12.885707378387451,13.87924313545227,0.9256203174591064,0.016235946,4.012994289398193,8.525019645690918
1,-1.4232546e-05,-12.618212812154404,20000,100,5.954235165090242,0.1084601879119873,23.755789756774902,27.914629969394444,9.175876244272576,9.02998902048368,9.319118738174438,9.797496318817139,0.3682212829589844,-0.0018348545,3.106445074081421,5.9184205532073975
2,-1.4244416e-05,-15.974475277411985,30000,100,6.4766767832099985,0.0630033016204834,35.94452738761902,28.979186580600093,10.24696143683845,10.111978486116483,11.671197414398193,12.178332328796387,0.4436802864074707,-0.004200183,3.904690980911255,7.405964374542236
3,-1.4260076e-05,-6.763217100044608,40000,100,13.655995582804627,0.12072539329528809,45.82052397727966,32.41265776531644,7.734568257296879,19.929431913174778,9.443386793136597,9.842195272445679,0.2771763801574707,-0.0072958963,3.0588221549987793,6.0904459953308105
4,-1.42499275e-05,2.1353552768867163,50000,100,15.282529333772318,0.09103536605834961,51.99265789985657,30.942363088004733,7.220329650493546,21.84391255514103,5.814913034439087,6.158986806869507,0.25278162956237793,-0.0047613904,1.9886374473571777,3.6409683227539062
5,-1.4219477e-05,10.334257736824023,60000,100,18.267205880703578,0.1231541633605957,62.46634912490845,32.447000613365375,4.303124350348369,25.76820841257133,10.066009759902954,10.464080095291138,0.2744286060333252,-0.004173815,2.6827239990234375,7.114643096923828
6,-1.4225815e-05,14.547851920473883,70000,100,19.1434510165436,0.11714577674865723,71.22827315330505,31.880837418169737,2.9168166935274766,26.792631213350745,8.282491207122803,8.750098705291748,0.3499455451965332,-0.0021217463,2.707613706588745,5.324359893798828
7,-1.4190323e-05,15.864006643747516,80000,100,19.773622599559168,0.040265798568725586,79.8937828540802,31.380760955314404,2.7586680562417545,26.93930612602505,8.216249227523804,8.652561664581299,0.3954312801361084,-0.0028617072,2.7440414428710938,5.227062702178955
8,-1.4173145e-05,11.596316438381276,90000,100,20.499227338872245,0.042621612548828125,92.22162318229675,31.895834666390137,2.3822594528816827,27.557879743457274,11.930870771408081,12.310510158538818,0.3364286422729492,-0.002509188,3.331550121307373,8.286112308502197
9,-1.4143884e-05,21.101778760699727,100000,100,21.137265198763654,0.03291821479797363,100.60353755950928,31.234458587958926,1.7286788490964895,27.79710484427804,8.036936521530151,8.366174221038818,0.29583048820495605,-0.0014559149,2.6461827754974365,5.15299391746521
10,-1.4107387e-05,22.853564483082845,110000,100,20.822110705114923,0.08611178398132324,106.85482573509216,31.451011738707184,1.4981249969195487,27.68445189158335,5.9249725341796875,6.241217851638794,0.2230668067932129,-0.0025596654,2.058379888534546,3.680328845977783
11,-1.4043901e-05,21.969047428613177,120000,100,20.9151793761321,0.03672957420349121,116.84401106834412,31.724998207039473,1.7762683905926293,27.7316394956467,9.58278203010559,9.979746103286743,0.3597705364227295,-0.0028796028,2.912083625793457,6.397768259048462
12,-1.4000734e-05,18.293434368816175,130000,100,20.977278379188782,0.0720529556274414,127.6539351940155,30.8061493677935,1.8371498729431144,27.614264887265694,10.298725605010986,10.793657064437866,0.42200207710266113,-0.0035115806,3.4093079566955566,6.584069728851318
13,-1.3971807e-05,17.770963990153394,140000,100,21.078929269218875,0.06038069725036621,138.10388326644897,31.633041625140823,2.1425622578791175,27.639801309958834,10.066176652908325,10.430097818374634,0.30268311500549316,-0.0025223957,3.084512233734131,6.686798334121704
14,-1.391865e-05,22.22254388134971,150000,100,21.4861936539798,0.08275413513183594,150.81873893737793,30.610441451585128,1.685566116366024,27.99706278236402,12.160896301269531,12.701766729354858,0.45633721351623535,-0.0018757646,3.2927489280700684,8.553241968154907
15,-1.3857398e-05,20.928187352061954,160000,100,21.700039261445216,0.1050424575805664,158.7714273929596,32.06945955146829,1.823836972761831,28.10850974574363,7.4569315910339355,7.935153961181641,0.3709537982940674,-0.0022524395,2.5392866134643555,4.686441421508789
16,-1.380887e-05,24.720002858891714,170000,100,21.902399961745786,0.07606101036071777,174.3388237953186,31.254459114462062,1.4374687597944944,28.304542304796495,14.868879318237305,15.546494722366333,0.6010046005249023,-0.0001959797,4.7975850105285645,9.646590232849121
17,-1.3763818e-05,25.59801967420313,180000,100,21.874525529370512,0.06662297248840332,192.56588006019592,31.127979175318558,1.2476982214348882,28.129299834109407,17.773667812347412,18.17686104774475,0.3345043659210205,-0.0024720118,4.902662992477417,12.4147310256958
18,-1.3729412e-05,25.151184413777994,190000,100,21.78752145378957,0.03975391387939453,202.79298520088196,30.27014443090006,1.1352627229851942,28.055826138682754,9.80425763130188,10.216475009918213,0.3718874454498291,-0.0008872378,3.104698896408081,6.414873361587524
19,-1.36813105e-05,24.941426341799698,200000,100,22.165474271823722,0.023746252059936523,209.5517451763153,31.348946706897422,1.350850614052362,28.446702718046073,6.487302541732788,6.744485855102539,0.2331695556640625,-0.0010662106,2.2546119689941406,4.030418634414673
20,-1.36577755e-05,22.97182875280598,210000,100,22.10310912042082,0.13044261932373047,221.12961554527283,31.367203512956046,1.4315499995021836,28.47551557018301,10.789949893951416,11.567419290542603,0.6460857391357422,-0.0024100516,3.472696542739868,7.002025127410889
21,-1.3631308e-05,24.4332789297352,220000,100,22.264751973292306,0.06566715240478516,236.03821182250977,31.86548672422968,1.3386411347402374,28.501725475060812,14.4375,14.879342555999756,0.371673583984375,-0.0020337298,4.430418968200684,9.607368230819702
22,-1.3627726e-05,25.30040242103407,230000,100,22.18596645251207,0.05954623222351074,249.10639905929565,32.12681022895586,1.36341803216918,28.543164867321202,12.734373569488525,13.050846815109253,0.25664234161376953,-0.0011373633,4.07885217666626,8.276700735092163
23,-1.3593141e-05,25.241555005316915,240000,100,22.11761606414926,0.05038166046142578,258.55797958374023,31.26467851449454,1.307022051655015,28.315243981608837,8.995348930358887,9.439743041992188,0.3932914733886719,-0.0023373638,2.7692623138427734,5.960132598876953
24,-1.3566949e-05,25.30689677961148,250000,100,22.440532931055458,0.03364109992980957,266.6024889945984,31.024410589121235,1.1483594332720242,28.62179704266694,7.735195875167847,8.02635908126831,0.2571282386779785,-0.0017643686,2.571486473083496,4.913895845413208
25,-1.3530168e-05,26.091663382461263,260000,100,22.40202877559982,0.10965633392333984,276.9877986907959,31.99920801482531,1.2368962615619206,28.64258681231974,9.894369125366211,10.37532663345337,0.37025976181030273,-0.0012975194,3.274925470352173,6.326767444610596
26,-1.3502252e-05,25.463888156487855,270000,100,22.47116794331547,0.04790210723876953,288.1584985256195,30.98502328118909,1.0698097728635358,28.567108250684733,10.775189876556396,11.148355484008789,0.3247957229614258,-0.00062284403,3.6134376525878906,6.852544069290161
27,-1.3452995e-05,25.606429422023368,280000,100,22.43754503862458,0.03228402137756348,297.4521791934967,32.44952410191101,1.2230356061885646,28.584700489278816,9.022215604782104,9.278284788131714,0.2234938144683838,-0.002198285,2.829287528991699,5.942965984344482
28,-1.3423329e-05,22.896359096073816,290000,100,22.651173202878248,0.024318695068359375,303.5125846862793,32.35536583822613,1.3510199932029334,28.75155066486735,5.767407417297363,6.050759553909302,0.25879693031311035,-0.0021823463,2.072500705718994,3.5121779441833496
29,-1.3402471e-05,22.64626492147663,300000,100,22.336094180144542,0.028516530990600586,309.751624584198,31.326147556737023,1.4449603603545942,28.46325161642283,5.962072372436523,6.228764295578003,0.23792433738708496,-0.0012455784,2.114795446395874,3.6585636138916016
30,-1.3330526e-05,25.797828222287677,310000,100,22.73269390186379,0.06077933311462402,317.18387961387634,32.4511833638561,1.1996382801960892,28.811099888327103,7.1066672801971436,7.4211061000823975,0.2533884048461914,-0.0002987044,2.3780736923217773,4.505713701248169
31,-1.3291808e-05,25.145941307907584,320000,100,22.588986891582348,0.09874677658081055,328.9580361843109,31.69182381328485,1.4618260621086383,28.687609971991822,11.361495018005371,11.762483358383179,0.29322314262390137,-0.0017119789,3.565861701965332,7.4882588386535645
32,-1.3247687e-05,25.50125462108014,330000,100,22.66968501073597,0.07662105560302734,342.5311803817749,32.16673039869653,1.3057306872677887,28.7236795205404,12.937743663787842,13.555745840072632,0.5405001640319824,-0.0023108884,4.259201526641846,8.301215410232544
33,-1.3221406e-05,26.031452177608696,340000,100,22.72868450220622,0.030027389526367188,353.9874384403229,33.24474639254713,1.2059475479778035,28.87034143354168,11.148041486740112,11.437966108322144,0.2596297264099121,-0.0015263208,3.0092692375183105,7.843852281570435
34,-1.31799925e-05,25.34526665830492,350000,100,22.825469780339823,0.03430509567260742,361.38270902633667,32.19714586749866,1.3127015527723602,28.915419097417168,7.117827892303467,7.381134510040283,0.22875142097473145,-0.000643895,2.345883846282959,4.55446195602417
35,-1.3159408e-05,25.7123349073849,360000,100,22.714100302976497,0.03961324691772461,367.7896420955658,31.76075568470176,1.319561106424725,28.831678290681015,6.1088807582855225,6.395816326141357,0.24592161178588867,-0.0031146477,2.1866188049316406,3.7199525833129883
36,-1.3139264e-05,26.561500998247762,370000,100,22.59053086957639,0.05089831352233887,382.3364498615265,31.44143091330183,1.10445834530992,28.739672964952348,14.157990217208862,14.535516500473022,0.326038122177124,-6.7918314e-05,4.004648447036743,9.806497573852539
37,-1.3122476e-05,24.825899842854664,380000,100,22.755263027590743,0.048438072204589844,395.3263683319092,31.916776288780476,1.3448796532711698,28.730050424174607,12.722304582595825,12.971926927566528,0.20086455345153809,-0.00043566033,3.9380295276641846,8.440537214279175
