train-EnvExecTime,train-MaxReturn,LossBefore,train-StdReturn,train-NumTrajs,Time,train-AverageReturn,Time-SampleProc,train-MinReturn,Time-Optimization,Itr,ItrTime,Time-Sampling,train-PolicyExecTime,LossAfter,train-AverageDiscountedReturn,n_timesteps
2.8285839557647705,10.975479917801138,-1.4179896e-05,31.23981995228964,100,14.75921082496643,-54.3347334484877,0.2735726833343506,-148.44519472218855,1.1798498630523682,0,14.75920820236206,13.30408763885498,10.186887502670288,-0.0082755955,-33.42985589050567,10000
3.900294065475464,16.153697859978635,-1.4213114e-05,35.331223794974775,100,31.809220790863037,-58.02088254855341,0.22994112968444824,-168.29591340749013,0.3910377025604248,1,16.984075784683228,16.342508792877197,12.087092161178589,-0.015347616,-36.037654538630676,20000
4.218655109405518,23.548500644554906,-1.4187269e-05,32.80587772505771,100,50.760241746902466,-54.02498304140572,0.151885986328125,-126.65609712294066,0.3819749355316162,2,18.942899703979492,18.407270193099976,13.788336277008057,-0.012785959,-32.88845178353677,30000
3.160942554473877,22.392112402889985,-1.4176926e-05,33.58230040720944,100,66.20189261436462,-50.44146265427784,0.11050009727478027,-131.12935882578026,0.2686774730682373,3,15.435019969940186,15.055341482162476,11.543890953063965,-0.012059577,-30.92829741221405,40000
3.0215060710906982,25.293912740143114,-1.4172824e-05,31.718029510224646,100,80.86903262138367,-45.2048480460098,0.13164258003234863,-125.79348807752248,0.39618635177612305,4,14.65926718711853,14.13086223602295,10.788608074188232,-0.013692997,-27.509078053010647,50000
4.479867696762085,8.7859183680778,-1.4169682e-05,27.566727291198053,100,101.2291955947876,-39.463059400351185,0.1759781837463379,-132.86566333931307,0.6138336658477783,5,20.34580683708191,19.55405306816101,14.64649772644043,-0.011846451,-25.173856617157607,60000
4.859365463256836,14.089745553485262,-1.415584e-05,27.10461410726731,100,123.74426341056824,-41.843053546339135,0.23705315589904785,-114.70371846915016,0.5037415027618408,6,22.500970125198364,21.7591814994812,16.418455123901367,-0.012666988,-25.865796960493075,70000
4.72882342338562,100.45064694450198,-1.4177947e-05,29.881978120326576,100,145.57051873207092,-30.145389170849786,0.17786049842834473,-92.55406919989498,0.496903657913208,7,21.81173348426819,21.13336420059204,15.960319995880127,-0.011563942,-19.396136395648533,80000
4.69152045249939,29.802140635938137,-1.4174509e-05,26.77120890595811,100,167.59630346298218,-31.005894234810672,0.1182866096496582,-94.68827725868731,0.5243091583251953,8,22.007057666778564,21.361024618148804,16.22740650177002,-0.012262461,-19.577369577543735,90000
4.8120622634887695,47.604805335765086,-1.4182845e-05,24.71324963183537,100,189.58708333969116,-28.7705675201817,0.1647961139678955,-98.70442473481722,0.6053833961486816,9,21.9707772731781,21.19926142692566,15.924285173416138,-0.0113704605,-17.70744050408471,100000
4.973454713821411,34.29132359359769,-1.4166599e-05,23.036692837038917,100,212.04651713371277,-24.696424601434344,0.1330089569091797,-93.79717707984115,0.5582053661346436,10,22.442034006118774,21.728087186813354,16.300077199935913,-0.011060381,-15.153923560587229,110000
4.862896680831909,18.96952050980727,-1.4169069e-05,28.39056424603279,100,234.81273293495178,-29.81163765988332,0.17342400550842285,-133.44975777959294,0.4332544803619385,11,22.751864194869995,22.142634868621826,16.780142784118652,-0.012412953,-18.06469255596644,120000
4.857694387435913,28.33588863279664,-1.4171942e-05,23.373219106455675,100,257.56764125823975,-27.48572750456299,0.15601778030395508,-115.96287767418943,0.4615168571472168,12,22.735461235046387,22.092073440551758,16.80252695083618,-0.011855946,-17.12142195093557,130000
4.749171733856201,28.53099697500382,-1.41879955e-05,23.60900834058089,100,279.2095561027527,-26.708437640792717,0.1352248191833496,-91.09346304138079,0.5549821853637695,13,21.625519514083862,20.934002161026,15.74478030204773,-0.0106330095,-15.721939985304711,140000
4.919363498687744,45.897010414688964,-1.4170356e-05,22.59246426918412,100,301.581218957901,-21.247343708322806,0.24345993995666504,-98.22932710766857,0.4815340042114258,14,22.354504585266113,21.628591060638428,16.253426551818848,-0.01110432,-13.412094242872739,150000
4.743769884109497,27.61151719004803,-1.4164047e-05,21.99483165972676,100,323.1196799278259,-21.68147579831465,0.17061209678649902,-81.1498388938216,0.406627893447876,15,21.51651382446289,20.93792963027954,15.759444952011108,-0.011565145,-13.770577869707346,160000
4.909153938293457,28.102025997662096,-1.4148006e-05,23.624202490429568,100,345.1083359718323,-22.520932103748486,0.171173095703125,-103.50211109881121,0.5132007598876953,16,21.9696364402771,21.283868074417114,15.886200428009033,-0.010880494,-13.453706850710653,170000
4.783899545669556,32.013940714519606,-1.4140505e-05,22.575554911122737,100,368.68257570266724,-24.616781536179104,0.1539604663848877,-86.83191837714739,0.4476659297943115,17,23.556517124176025,22.95326256752014,17.70977783203125,-0.010602728,-14.465302838211473,180000
4.921390056610107,30.78328876562075,-1.4109097e-05,22.504470728751663,100,391.14162278175354,-23.538691200973204,0.14659810066223145,-79.42874395535931,0.6144556999206543,18,22.44487166404724,21.682840824127197,16.284952878952026,-0.012235331,-13.657288733349487,190000
4.849152565002441,13.021172226779841,-1.4080214e-05,20.324697227455815,100,411.9259612560272,-24.987046059135242,0.1688544750213623,-83.9085552607878,0.4293019771575928,19,20.760118007659912,20.158798456192017,14.855613231658936,-0.011446466,-14.851305166018667,200000
5.035045146942139,27.99927739735459,-1.4041297e-05,19.072681345299543,100,434.435250043869,-20.986505244009972,0.17811870574951172,-71.23194303946121,0.45931529998779297,20,22.490654230117798,21.851582050323486,16.35635995864868,-0.01202172,-12.534987210342932,210000
