train-PolicyExecTime,train-MinReturn,train-NumTrajs,n_timesteps,Time-Optimization,ItrTime,LossAfter,Itr,train-AverageReturn,train-MaxReturn,train-AverageDiscountedReturn,Time-SampleProc,LossBefore,train-StdReturn,Time-Sampling,train-EnvExecTime,Time
2.9119555950164795,-137.6097583194897,100,10000,0.5104806423187256,5.939792156219482,0.00913373,0,89.3260020989999,184.93349649418505,58.84625579373087,0.07147002220153809,-1.41924365e-05,70.94907766621657,5.357347249984741,2.2782886028289795,5.939795732498169
2.882493019104004,-137.49394088968418,100,20000,0.4423236846923828,5.813409090042114,-0.0075190603,1,86.9500366441086,192.03292115658337,57.14079364329446,0.060534000396728516,-1.4177727e-05,68.60914840869185,5.309840440750122,2.256347179412842,11.768664360046387
2.8663151264190674,-97.163128475582,100,30000,0.3869669437408447,5.7482075691223145,-0.007872925,2,119.98855701842592,204.06018425882792,74.74737925910468,0.037598371505737305,-1.4154477e-05,66.6212223304817,5.323453187942505,2.289360761642456,17.524389028549194
2.932950258255005,-50.43450961161062,100,40000,0.2565019130706787,5.664216756820679,-0.007483422,3,171.13235957919147,213.44264931575617,101.95587122762782,0.02379131317138672,-1.4122648e-05,44.316245346316215,5.383411169052124,2.274589776992798,23.202125787734985
3.0925095081329346,159.4639681978758,100,50000,0.3031761646270752,5.98712158203125,-0.00674085,4,195.0544283848792,207.5998449320837,115.96088251754816,0.03360557556152344,-1.4100583e-05,8.91621448939725,5.650087118148804,2.3795762062072754,29.196380138397217
3.5630180835723877,148.03599357502063,100,60000,0.2837791442871094,6.890070199966431,-0.0037680606,5,196.75972783762882,209.77385828299143,116.86024438877517,0.03709816932678223,-1.40660295e-05,8.794567491738865,6.5688159465789795,2.792654275894165,36.09725570678711
3.6019012928009033,149.23232813324427,100,70000,0.3025031089782715,6.997687339782715,-0.0048625213,6,197.20311405478662,206.58461791467013,117.53442020196489,0.03275609016418457,-1.4044466e-05,7.69826614673606,6.662071943283081,2.8504621982574463,43.105135917663574
4.294987440109253,189.6588578703285,100,80000,0.3033907413482666,8.31398057937622,-0.004531603,7,201.22305353146558,208.7727178852378,119.24666973495314,0.03616523742675781,-1.3989275e-05,3.66955680264602,7.97416877746582,3.43214750289917,51.42987060546875
3.8776662349700928,187.64678795701133,100,90000,0.30017733573913574,7.541687726974487,-0.0044525224,8,201.7870568164687,208.09353795670143,119.55603944841154,0.05153918266296387,-1.39422955e-05,3.735487648432496,7.189669847488403,3.0893330574035645,58.98399257659912
5.029235601425171,188.8979394182746,100,100000,0.32953381538391113,9.705504655838013,-0.0026164814,9,202.69605442882198,208.9501746252803,119.94609568189784,0.046581268310546875,-1.3897681e-05,3.699001170509624,9.32908320426941,4.025799512863159,68.70103549957275
4.642943859100342,189.97404333686137,100,110000,0.3509202003479004,8.999852895736694,-0.004432708,10,202.9494633914393,209.92113931571555,120.10609224176649,0.043553829193115234,-1.3852391e-05,3.840968648445538,8.60498046875,3.703357458114624,77.71525573730469
4.609680891036987,194.16569088337607,100,120000,0.35562825202941895,8.967569351196289,-0.0035730926,11,204.12459339814401,211.50468603612774,120.44603077125237,0.04698324203491211,-1.380979e-05,2.852253286171809,8.56452989578247,3.6935198307037354,86.69595408439636
4.596217393875122,184.92763038602357,100,130000,0.3082468509674072,8.893397808074951,-0.0041853725,12,204.4322259976698,211.30508455338247,120.6462410860463,0.06968283653259277,-1.3772553e-05,3.533791173143781,8.515172958374023,3.6586062908172607,95.60324311256409
4.591524600982666,196.23733461276362,100,140000,0.3092918395996094,8.858542919158936,-0.0040569943,13,205.0992390278512,211.9075503123261,120.92099975923573,0.06235933303833008,-1.3724625e-05,2.5328171313178443,8.48659062385559,3.643956422805786,104.47325420379639
4.5663416385650635,195.01615564931086,100,150000,0.31649065017700195,8.852742433547974,-0.004003638,14,205.5923956951122,211.27720791964086,120.93279636514117,0.03731989860534668,-1.370011e-05,2.8395157699260247,8.498372554779053,3.678816556930542,113.3371593952179
5.745253562927246,196.6248499569641,100,160000,0.3852717876434326,11.23624563217163,-0.0029226742,15,206.03347429881126,212.54153642653444,121.18918791855464,0.08393621444702148,-1.3638568e-05,2.5639868985391407,10.76669454574585,4.703907251358032,124.58596420288086
5.71979284286499,193.64489961585488,100,170000,0.3389103412628174,11.018231630325317,-0.004438771,16,206.56377927248957,213.10651801154714,121.34149442319104,0.045549869537353516,-1.3608896e-05,3.2369458475513557,10.633361339569092,4.599299669265747,135.6230354309082
4.595737934112549,198.0965749604123,100,180000,0.35341644287109375,8.968515157699585,-0.004264675,17,206.65726052308062,214.9838172451266,121.4447373088392,0.05208301544189453,-1.3551247e-05,2.9285601502311964,8.562113046646118,3.7084736824035645,144.60458779335022
4.62869668006897,200.39833240237206,100,190000,0.3657565116882324,9.039625406265259,-0.0048505636,18,207.51363599757858,213.41475291110643,121.6880701614566,0.04348254203796387,-1.3521283e-05,2.8965966493611663,8.630070209503174,3.739757537841797,153.66016054153442
6.294114112854004,196.88318323756684,100,200000,0.34287428855895996,12.0479736328125,-0.0029769626,19,208.27446150866098,215.70757974806503,121.97687991220195,0.0592045783996582,-1.3487664e-05,3.054114734305576,11.645323276519775,5.012155532836914,165.72235465049744
4.690945386886597,198.50266367157192,100,210000,0.33075785636901855,9.110917091369629,-0.003747718,20,208.5699448387948,213.5465559846752,122.0634319477466,0.08028149604797363,-1.3464764e-05,2.9400831529970453,8.699478149414062,3.7496652603149414,174.84728407859802
