train-AverageDiscountedReturn,train-AverageReturn,LossAfter,Itr,train-MaxReturn,train-MinReturn,Time-SampleProc,ItrTime,LossBefore,Time-Sampling,train-PolicyExecTime,Time-Optimization,train-NumTrajs,n_timesteps,train-StdReturn,train-EnvExecTime,Time
-1.1504085422049417,-1.3599595217369265,0.00094636274,0,7.065286839817158,-8.502465540906293,0.1686408519744873,24.646019458770752,-1.4190816e-05,22.122788190841675,13.48100757598877,2.3533473014831543,100,10000,3.1258211465154995,7.966779470443726,24.646023988723755
-0.7354377477365123,-0.40456059914952697,0.01648145,1,8.820252006925248,-7.344576024595305,0.1567389965057373,24.310043334960938,-1.4217308e-05,22.262279510498047,13.551393270492554,1.8898296356201172,100,20000,3.2748820812199484,8.035272598266602,49.08984994888306
-0.7620071180732293,-0.5992675764107855,0.0020124053,2,7.421506477653413,-6.74678940928712,0.12681865692138672,23.727538108825684,-1.4239445e-05,22.281758785247803,13.522188425064087,1.3181757926940918,100,30000,3.01657386384143,8.075747728347778,72.93769121170044
2.314826036929164,3.6883039869473877,-0.012622558,3,17.800538381955228,-7.769348210596119,0.13836908340454102,24.101813316345215,-1.4254091e-05,22.841060400009155,14.009062051773071,1.1207704544067383,100,40000,4.371643898703947,8.140554428100586,97.13507652282715
6.0287792188677205,9.069391950511022,-0.005856341,4,22.41749784928649,-3.7847296618802173,0.14852070808410645,24.42122507095337,-1.4244275e-05,23.213232040405273,14.254007339477539,1.0587036609649658,100,50000,6.273699246040647,8.264544010162354,121.63580203056335
12.254188401435046,18.516182893805787,-0.011858937,5,29.67034355784251,1.1396543676507405,0.15979719161987305,24.499775648117065,-1.4211447e-05,23.270522117614746,14.170154571533203,1.0688197612762451,100,60000,5.745282397092669,8.405117273330688,146.1965434551239
16.52199224886307,23.746874480021717,-0.010030767,6,31.40205269198377,11.69593927907835,0.13664865493774414,24.70292854309082,-1.4171212e-05,23.496148824691772,14.127949237823486,1.069406270980835,100,70000,3.547743664762165,8.64280390739441,170.96064043045044
18.241688797350164,25.69764808967909,-0.007082298,7,32.67201579946951,17.102051940004593,0.12544703483581543,24.696992874145508,-1.4119356e-05,23.547780513763428,14.176522254943848,1.0230062007904053,100,80000,2.9995603469434213,8.66937804222107,195.71925616264343
19.870337265279908,27.09246418905385,-0.006157185,8,31.203456660873464,19.16506621442456,0.1407461166381836,24.85384964942932,-1.4085288e-05,23.63656449317932,14.171550035476685,1.0759572982788086,100,90000,2.247343433510854,8.758115768432617,220.6368453502655
20.594981062488582,27.331447431589996,-0.0031048544,9,31.502898939615164,21.14258850124111,0.13102388381958008,24.780826807022095,-1.4042725e-05,23.580798387527466,14.17111611366272,1.0682611465454102,100,100000,2.1863659076160933,8.7141695022583,245.47905802726746
20.93340058989098,27.57028984493458,-0.005886017,10,31.88294669826447,21.6257903301661,0.13817477226257324,25.04326581954956,-1.4000554e-05,23.842309713363647,14.286809206008911,1.062105655670166,100,110000,2.1844858540159677,8.854278087615967,270.58318638801575
20.799568552004644,27.00887407609236,-0.0053384523,11,31.21208052463229,21.477827219715344,0.13646936416625977,24.87053346633911,-1.3952624e-05,23.64951491355896,14.092636346817017,1.0839576721191406,100,120000,2.025645723331779,8.843896627426147,295.51786613464355
21.561253900274522,27.782734952411843,-0.00497727,12,31.92262395054075,19.778047405304555,0.12035822868347168,24.83316993713379,-1.3913638e-05,23.628188133239746,14.019605875015259,1.0839476585388184,100,130000,2.0595362288429406,8.895327806472778,320.4076089859009
21.53511872279728,27.4397633694977,-0.0031086516,13,32.939512222051924,20.22699647136172,0.1306157112121582,24.924081563949585,-1.3866176e-05,23.761326551437378,14.18209719657898,1.0315141677856445,100,140000,2.041147691202506,8.8721764087677,345.3956084251404
22.20979768266638,28.089059941607665,-0.004185828,14,32.93134154879216,21.616328405845184,0.1664106845855713,25.062825202941895,-1.3815542e-05,23.82482147216797,14.197572708129883,1.0708489418029785,100,150000,2.0020640194330346,8.932301759719849,370.5154821872711
22.054684405146194,27.96461422968182,-0.0018452246,15,34.06853853584844,22.579853912083458,0.11879611015319824,24.945351600646973,-1.377257e-05,23.741373777389526,14.14111876487732,1.0844805240631104,100,160000,2.1922333059751593,8.901181936264038,395.5228052139282
22.26167595822243,28.168416388674963,-0.001570636,16,31.29858404923779,22.629730238496613,0.12365055084228516,24.811487913131714,-1.3726228e-05,23.627811670303345,14.054088354110718,1.0593228340148926,100,170000,1.765406827879381,8.86891508102417,420.3919327259064
22.546516179946916,28.354275013158727,-0.004298429,17,32.62981211593787,23.047276834554225,0.1431412696838379,24.75896954536438,-1.3691525e-05,23.561026334762573,14.033813238143921,1.0541813373565674,100,180000,1.7951739037062828,8.826727390289307,445.2062895298004
22.64629152169795,28.564368976138315,-0.0028158291,18,32.35651086317069,22.936011526141325,0.12797236442565918,24.933441638946533,-1.364567e-05,23.7474422454834,14.131380558013916,1.0574455261230469,100,190000,2.0727409962934438,8.911519050598145,470.1992824077606
22.540092583926306,28.489905711301752,-0.0029774827,19,32.71821494451801,24.571038271594777,0.16380786895751953,25.157384395599365,-1.36015115e-05,23.93753719329834,14.273795127868652,1.0554115772247314,100,200000,1.9642000226434084,8.954304456710815,495.41474747657776
22.94611226924493,28.88995153970241,-0.0027858375,20,33.14365627979053,22.82868493309923,0.12873482704162598,24.83119249343872,-1.354942e-05,23.612083196640015,14.003629922866821,1.0896873474121094,100,210000,1.8954137514690503,8.903924465179443,520.3069806098938
