Time-Sampling,Time-Optimization,train-AverageDiscountedReturn,train-MaxReturn,n_timesteps,train-NumTrajs,Time-SampleProc,ItrTime,train-EnvExecTime,train-PolicyExecTime,Time,LossAfter,train-AverageReturn,train-MinReturn,Itr,LossBefore,train-StdReturn
25.002748489379883,2.6710946559906006,-26.95238590033088,164.02647832787937,10000,100,0.14358258247375488,27.818578958511353,10.645359992980957,13.696926355361938,27.818588733673096,0.028547501,-67.16238255675663,-152.87701850089218,0,0.09618482,65.8921905616249
25.261496782302856,1.7057695388793945,-26.25232736273347,192.6268003604166,20000,100,0.24571681022644043,27.214214086532593,10.78970980644226,13.786705493927002,55.11977195739746,0.0016183975,-67.70463295777816,-237.86391196549494,1,-6.1035155e-09,108.51438591790343
25.40306258201599,1.4326539039611816,-7.6538749121089396,190.5640574527112,30000,100,0.24807071685791016,27.084546089172363,10.839266777038574,13.855717420578003,82.26653480529785,0.00022095947,-30.222048786372905,-224.7766000590474,2,-6.1035155e-09,105.66854279210138
25.713351726531982,1.1485795974731445,47.33880104091879,199.73514424179288,40000,100,0.14672446250915527,27.009761333465576,10.942078351974487,14.073693037033081,109.3372757434845,-0.0061206114,71.32446989873536,-138.5510005330342,3,9.155274e-09,100.87549278003469
25.984992742538452,1.0374627113342285,84.75976644426638,202.8852762155309,50000,100,0.11195659637451172,27.135155200958252,11.07960844039917,14.199617147445679,136.5313744544983,-0.005792796,140.6803885290361,-126.17172281514041,4,-9.155274e-09,81.91272909093743
26.18194341659546,1.0764226913452148,103.92430024668249,205.27682532051625,60000,100,0.13231849670410156,27.39139747619629,11.286951541900635,14.191182136535645,163.98217940330505,-0.008083963,173.8557760620414,-178.50271677172407,5,-6.1035155e-09,61.859228655223276
26.304040908813477,1.0653178691864014,111.31449876939229,203.26610176748048,70000,100,0.1178286075592041,27.487834215164185,11.370590448379517,14.236875534057617,191.52956986427307,-0.006346759,186.89152260547974,-80.93782357874923,6,3.0517577e-09,31.602160008114716
27.01669931411743,1.0691027641296387,116.81888829466352,202.3896325438434,80000,100,0.11387777328491211,28.200376987457275,11.727394342422485,14.5895836353302,219.78861141204834,-0.0047303466,196.31116600423698,131.70263150966926,7,1.2207031e-08,7.938666678120414
26.40948510169983,1.079711675643921,117.81247743366997,202.61482018690697,90000,100,0.12257599830627441,27.612426042556763,11.45533037185669,14.256037950515747,247.45868277549744,-0.00789062,198.0467427278354,185.07542533693345,8,-9.155274e-09,3.575032678445416
26.37805700302124,1.067361831665039,118.46980794991553,203.0757108673389,100000,100,0.10759878158569336,27.553560256958008,11.513952493667603,14.164026737213135,275.0748679637909,-0.0029880372,199.72939842406097,191.48077125586167,9,-6.1035155e-09,2.2100348998312684
26.321898460388184,1.0548982620239258,118.74578886458377,204.00030019836908,110000,100,0.10978436470031738,27.487186193466187,11.48102593421936,14.142796039581299,302.61850786209106,-0.005770166,200.26101549838674,195.18381579928496,10,-6.1035155e-09,1.845845486013924
26.4206326007843,1.0574123859405518,119.02274117844914,205.14322155264526,120000,100,0.11906576156616211,27.597734212875366,11.528812885284424,14.190196514129639,330.28219079971313,-0.0035615852,200.793647792916,191.63224529518658,11,-8.392334e-09,2.015105339920922
26.45239496231079,1.0754013061523438,119.20011138662755,203.7519333281892,130000,100,0.15613818168640137,27.68474316596985,11.552404642105103,14.201370477676392,358.033588886261,-0.0054939603,201.0116217383779,193.64158855855302,12,-6.1035155e-09,1.6792524356804095
26.418642044067383,1.0704426765441895,119.50704372866417,205.23459996946522,140000,100,0.1116178035736084,27.60131049156189,11.500033140182495,14.220199346542358,385.6935091018677,-0.005115924,201.78174549514443,198.56149822933665,13,-3.0517577e-09,1.2919392348921848
26.22791028022766,1.0809597969055176,119.48744080011997,204.37290110073423,150000,100,0.11394619941711426,27.423569202423096,11.43530535697937,14.099160432815552,413.1784691810608,-0.0041328627,201.65239903914684,195.87787056847037,14,-3.4332275e-09,1.6573235101304165
26.546626329421997,1.0736703872680664,119.61584434103452,205.61278555985803,160000,100,0.11778640747070312,27.73869514465332,11.576982975006104,14.264832496643066,440.9761564731598,-0.0041553024,201.7989354513637,194.3034456557751,15,-3.0517577e-09,1.7654605988779164
26.368172883987427,1.0734896659851074,119.80064230325081,204.91700471965905,170000,100,0.11903095245361328,27.5612850189209,11.509727478027344,14.158401489257812,468.59941935539246,-0.004560449,202.2567929411106,196.71690859968317,16,6.1035155e-09,1.4009110055113538
26.362594604492188,1.0668468475341797,119.90393767593045,205.49294358298326,180000,100,0.14779448509216309,27.57788848876953,11.523383140563965,14.146117210388184,496.2361841201782,-0.0052133757,202.41414176006737,195.38951150403935,17,-7.629395e-09,1.8062791361926247
26.35848093032837,1.0504486560821533,120.08806565882786,205.6900575651891,190000,100,0.13978123664855957,27.54937505722046,11.525108337402344,14.131542444229126,523.8458321094513,-0.0039421385,202.8319416575506,194.65558729905354,18,6.1035155e-09,1.5742664399116324
26.462791919708252,1.0829811096191406,120.24300000655134,206.38075533938655,200000,100,0.12150335311889648,27.66799807548523,11.472133874893188,14.292666673660278,551.5750024318695,-0.0051728394,203.25057258583738,198.09746595613936,19,-1.2207031e-08,1.3212886133276998
26.426544904708862,1.079444169998169,120.25455736458096,206.49391964229372,210000,100,0.12203764915466309,27.62875247001648,11.493326187133789,14.223900556564331,579.2656600475311,-0.0033740844,203.36183484667367,200.4246976893488,20,4.005432e-09,1.198556271482459
