train-MinReturn,n_timesteps,train-PolicyExecTime,train-MaxReturn,Time-Optimization,train-EnvExecTime,Itr,ItrTime,Time-Sampling,train-AverageDiscountedReturn,train-NumTrajs,LossBefore,LossAfter,Time,train-StdReturn,Time-SampleProc,train-AverageReturn
-112.59111650557963,10000,14.134661674499512,48.69980130401826,2.595088481903076,8.491851329803467,0,26.11617660522461,23.35158610343933,-19.462430545087773,100,-1.4201592e-05,0.018980544,26.116159677505493,33.41340332455923,0.16841435432434082,-30.113543553114706
-132.73280451572037,20000,14.099056720733643,43.931023285855474,2.2140777111053467,8.52823257446289,1,25.7734956741333,23.376200199127197,-15.878714540327856,100,-1.4213928e-05,0.0049886317,52.08963441848755,34.07159972876481,0.18134665489196777,-24.162269835743455
-93.65848642644163,30000,13.907634019851685,31.35979495094336,2.3604648113250732,8.539317607879639,2,25.828760623931885,23.192089080810547,-16.828983498153164,100,-1.4250722e-05,-0.013971329,78.05932903289795,29.22062712295374,0.2747793197631836,-26.46964744640497
-100.31970721525825,40000,13.909035921096802,33.41324180428409,2.1240532398223877,8.530189752578735,3,25.587060689926147,23.184282541275024,-13.7146372608576,100,-1.4225863e-05,-0.014296428,103.7119722366333,28.57062173315082,0.27766895294189453,-21.620150283623715
-112.9396392444737,50000,14.11912488937378,33.07682735598105,1.9872958660125732,8.628296375274658,4,25.705430030822754,23.497546672821045,-16.02175250092547,100,-1.4198358e-05,-0.013766529,129.480477809906,28.148406894392394,0.21928644180297852,-25.658275449341872
-100.07658097638253,60000,14.41277027130127,62.92280794110781,1.5569708347320557,8.73741364479065,5,25.67344355583191,23.911602020263672,-12.734190155937263,100,-1.4191721e-05,-0.014313911,155.21686935424805,32.17183271179344,0.2037806510925293,-19.690886287774102
-166.975397365453,70000,14.427672863006592,35.6553915284132,1.4475147724151611,8.67470908164978,6,25.552966356277466,23.86458659172058,-19.544090313183546,100,-1.4214979e-05,-0.013740963,180.83335828781128,35.13450717845276,0.2393813133239746,-29.79987296753994
-135.9252459029988,80000,14.538553714752197,30.13560092561772,1.38631010055542,8.661341428756714,7,25.572080373764038,23.953782081604004,-20.622416783008926,100,-1.4237667e-05,-0.0132128475,206.46922278404236,32.49247136081112,0.23023295402526855,-33.47112684619379
-110.39812213517524,90000,14.523144245147705,66.86632656107028,1.3623487949371338,8.630889177322388,8,25.533408164978027,23.9118492603302,-16.05471601205206,100,-1.4225683e-05,-0.016525725,232.06868433952332,33.02817845818592,0.25820279121398926,-25.989347170028438
-114.12557336408676,100000,14.660961389541626,50.35374705038076,1.2544097900390625,8.739704608917236,9,25.60796546936035,24.163206815719604,-16.89799081234385,100,-1.4229979e-05,-0.014090548,257.7470350265503,31.649833384776198,0.18715143203735352,-25.516117582643897
-102.63572805227749,110000,14.612348079681396,53.89427466616561,1.255253791809082,8.638105630874634,10,25.440170764923096,24.005885362625122,-16.689375566764088,100,-1.4217706e-05,-0.013139913,283.2590172290802,30.262134589363132,0.1779477596282959,-25.550803719643888
-123.85574433344392,120000,14.533194780349731,30.80882796435292,1.2071888446807861,8.672187089920044,11,25.432260036468506,23.984137773513794,-21.76187333547734,100,-1.4228879e-05,-0.015078139,308.756050825119,35.59987967848741,0.23874878883361816,-34.97331119714677
-98.36921887921503,130000,14.723366737365723,34.941903858082,1.171386957168579,8.735960483551025,12,25.530861616134644,24.222156763076782,-16.691768238680655,100,-1.4200867e-05,-0.016055146,334.3531246185303,29.49862297836512,0.13663887977600098,-27.2875290186678
-100.60773734460984,140000,14.75496792793274,58.0072068066373,1.1540007591247559,8.718313932418823,13,25.50396180152893,24.218620538711548,-14.223524404537093,100,-1.419947e-05,-0.015526905,359.9412512779236,31.597277517646162,0.1306297779083252,-22.172435202523346
-123.15308928741788,150000,14.759562969207764,49.211394269502456,1.1738615036010742,8.79371976852417,14,25.627249240875244,24.31592297554016,-15.948561853042468,100,-1.4156454e-05,-0.014045453,385.6409707069397,32.54932868869013,0.1367027759552002,-24.289826911345877
-115.09300128033615,160000,14.787125587463379,72.2575201218637,1.139585256576538,8.774049997329712,15,25.596015691757202,24.328295946121216,-14.912367636446278,100,-1.4152374e-05,-0.017205935,411.31148195266724,33.110914055439714,0.12714791297912598,-23.851889228046335
-92.80737324092983,170000,14.660200119018555,26.418188809745168,1.143092393875122,8.756408214569092,16,25.465457439422607,24.18453097343445,-16.45534920760572,100,-1.4115629e-05,-0.015975343,436.8464148044586,26.91734989705709,0.1370387077331543,-25.3587945489744
-117.65590454739812,180000,14.74731969833374,26.068127492345283,1.1514713764190674,8.704216241836548,17,25.51003336906433,24.219170808792114,-18.76205975594274,100,-1.4095245e-05,-0.01518005,462.42841839790344,30.657773712757095,0.138688325881958,-30.268956975881657
-122.06961845096262,190000,14.755524635314941,47.27376363537606,1.155639410018921,8.797531127929688,18,25.61564302444458,24.325186014175415,-13.331420811065476,100,-1.4091005e-05,-0.015947597,488.10922360420227,29.187979815450287,0.13396573066711426,-21.673786484832608
-117.78473921535067,200000,14.792259454727173,47.27032058565751,1.1182501316070557,8.757491827011108,19,25.568441152572632,24.32087254524231,-14.928074237802353,100,-1.4054478e-05,-0.01458311,513.756204366684,33.40455395561468,0.12850022315979004,-23.715628250291598
-94.57739665712653,210000,14.782629013061523,67.23691865767607,1.1769845485687256,8.745549201965332,20,25.637906551361084,24.29106330871582,-14.027022913411681,100,-1.4045461e-05,-0.01655191,539.4674828052521,32.71329732375123,0.16826367378234863,-21.55511682760977
