LossBefore,train-PolicyExecTime,ItrTime,train-AverageReturn,LossAfter,Time-Sampling,Time-SampleProc,train-MaxReturn,train-MinReturn,n_timesteps,Time-Optimization,train-EnvExecTime,train-NumTrajs,train-StdReturn,Itr,Time,train-AverageDiscountedReturn
-1.42138e-05,13.603809833526611,25.66757845878601,-40.131187789365455,0.053191487,22.672442197799683,0.17956995964050293,46.46639372722815,-127.42558854702565,10000,2.8146426677703857,8.383756637573242,100,31.22900278947358,0,25.667585611343384,-25.28666833285295
-1.4198695e-05,13.47623324394226,24.88912081718445,-40.10562090263203,0.012688074,22.58934497833252,0.18968629837036133,24.899712867463865,-102.87591312794741,20000,2.1090087890625,8.415212154388428,100,29.2570731584235,1,50.72809720039368,-25.369970885738315
-1.4211771e-05,13.614379405975342,24.8587384223938,-42.84988089148402,-0.0130136125,22.7331862449646,0.20824861526489258,14.564398665088502,-106.14655305019662,30000,1.9159166812896729,8.412837266921997,100,26.03298111874065,2,75.66950464248657,-26.870522358189923
-1.4216781e-05,13.757996082305908,25.021540641784668,-31.514814492478653,-0.012188188,22.98619556427002,0.27016782760620117,43.98025204831256,-106.55718144875425,40000,1.7634601593017578,8.47595763206482,100,29.98259299169851,3,100.77614617347717,-20.289175995734926
-1.4225006e-05,13.977291822433472,24.87830638885498,-30.877971751369056,-0.0109450035,23.279345512390137,0.18314456939697266,34.98853648342433,-97.10878192036964,50000,1.4150290489196777,8.583002090454102,100,27.306621505942026,4,125.71413564682007,-19.98220206398839
-1.4254828e-05,14.129911661148071,24.895718336105347,-30.07391535755072,-0.013143254,23.489919900894165,0.19574427604675293,51.941700522162954,-105.23439472747874,60000,1.2083094120025635,8.637495279312134,100,31.11524833446069,5,150.67424082756042,-19.136040375556632
-1.4208006e-05,14.142601013183594,24.740745782852173,-29.57573422050443,-0.012937051,23.469575881958008,0.1503887176513672,57.98222070776983,-104.60006095842922,70000,1.1198303699493408,8.601764678955078,100,27.369604613660226,6,175.4762144088745,-18.538785719802025
-1.4163056e-05,14.130353689193726,24.765711069107056,-20.66212543029803,-0.01419858,23.472132682800293,0.13726234436035156,74.97909848396911,-95.14588430567163,80000,1.155076026916504,8.605525493621826,100,30.554917432999098,7,200.3088686466217,-14.403277301634551
-1.4195502e-05,14.17655348777771,24.76508903503418,-27.495707136644555,-0.0137879355,23.502246856689453,0.15675926208496094,48.403441647805195,-108.27438131006426,90000,1.104280710220337,8.589868307113647,100,29.484999900337005,8,225.14218163490295,-18.287652442883914
-1.4190888e-05,14.249755382537842,24.906713008880615,-18.23793047564954,-0.011410181,23.621546268463135,0.14005112648010254,73.95120904806114,-95.85981239321455,100000,1.1443231105804443,8.639628887176514,100,28.16630744988262,9,250.1134114265442,-12.436377783354372
-1.4129713e-05,14.240849256515503,24.847368001937866,-23.656697175620888,-0.013258198,23.605979681015015,0.12353372573852539,50.56662943981011,-106.93571576958533,110000,1.117053747177124,8.643834114074707,100,29.34045354929763,10,275.02897787094116,-15.223992757895614
-1.4145013e-05,14.465007305145264,25.18172264099121,-17.14782287936051,-0.013672413,23.95226812362671,0.13013815879821777,43.382788387080936,-90.97690661957122,120000,1.098628282546997,8.749792098999023,100,26.69014092879643,11,300.2775557041168,-10.729879188157057
-1.4120625e-05,14.250888586044312,24.93802762031555,-24.9297310625504,-0.013777287,23.647417068481445,0.15504980087280273,39.569074418362845,-107.0417499003508,130000,1.1348423957824707,8.662011861801147,100,27.73320231796304,12,325.272985458374,-15.822708900816616
-1.40940565e-05,14.189898252487183,24.854309797286987,-24.090417496483134,-0.012791386,23.583462238311768,0.15309500694274902,53.747095203355954,-92.66602703553536,140000,1.1169776916503906,8.663687705993652,100,27.424927626676713,13,350.1976246833801,-15.513192005357308
-1.4009999e-05,14.143872737884521,24.804492473602295,-15.86130774065576,-0.014260562,23.552011013031006,0.124725341796875,55.112596950885354,-83.39578637453273,150000,1.1270270347595215,8.691098928451538,100,24.89034193464185,14,375.0718894004822,-9.88676544425601
-1.399856e-05,14.145227670669556,24.895116329193115,-21.996983928438745,-0.014616763,23.62389063835144,0.149993896484375,39.10004916601012,-110.69918545112614,160000,1.1204793453216553,8.740623474121094,100,25.978853175011228,15,400.0395519733429,-13.581280436992058
-1.3961461e-05,14.235014915466309,24.953063249588013,-16.946646211318466,-0.014338599,23.688921213150024,0.13519787788391113,70.82167466008724,-84.30902062527397,170000,1.1282377243041992,8.728876113891602,100,25.330545764715232,16,425.05858731269836,-10.714719072762112
-1.3918539e-05,14.251092433929443,24.857690811157227,-16.357571039365347,-0.015959201,23.629145860671997,0.12805819511413574,51.55265892766523,-103.73086074263563,180000,1.0997021198272705,8.658741235733032,100,26.118840278089998,17,449.9804017543793,-9.748555428386485
-1.3944024e-05,14.2771577835083,24.938942432403564,-15.457018942946116,-0.014014676,23.733501434326172,0.11736893653869629,60.861628284237746,-104.34002451290114,190000,1.0873737335205078,8.695271968841553,100,25.140936311893714,18,474.9816679954529,-10.076716224822414
-1.3928499e-05,14.131346702575684,24.855468273162842,-14.801352306215628,-0.015460928,23.628547430038452,0.12392711639404297,51.2285347108531,-107.66325302058509,200000,1.102376937866211,8.771422386169434,100,26.129676569685213,19,499.901141166687,-8.92203749910601
-1.3918448e-05,14.18099331855774,24.85003924369812,-14.371398379968133,-0.014529234,23.60243320465088,0.13968873023986816,43.08499540874496,-118.8452860692125,210000,1.1067986488342285,8.695059537887573,100,24.092876544444923,20,524.8180255889893,-9.345306366417685
