train-PolicyExecTime,Time-SampleProc,train-AverageDiscountedReturn,train-StdReturn,train-MaxReturn,Time-Sampling,Time,Time-Optimization,train-EnvExecTime,LossBefore,Itr,n_timesteps,train-NumTrajs,train-MinReturn,ItrTime,LossAfter,train-AverageReturn
3.404582977294922,0.03863716125488281,-17.439916925274517,32.59488740318007,51.092248703023195,5.446309328079224,6.149255037307739,0.6639652252197266,1.8709022998809814,-1.4187478e-05,0,10000,100,-163.4793546685894,6.149252891540527,0.04730315,-27.18829537666611
3.469897985458374,0.044188737869262695,-20.535505849321417,31.596138732420606,27.280107103807225,5.541399002075195,12.279858589172363,0.5141723155975342,1.895092248916626,-1.4215625e-05,1,20000,100,-122.6894920120324,6.100222587585449,-0.006859513,-34.08402276777043
3.4205169677734375,0.06877326965332031,-18.593578914199295,32.92609974931029,59.50935728676058,5.470557928085327,18.431881189346313,0.597529411315918,1.8734943866729736,-1.4232613e-05,2,30000,100,-123.59635682215192,6.1370933055877686,-0.013978472,-28.564470039086377
3.435263156890869,0.04097914695739746,-16.538884098836533,33.28197743278768,57.19114198100156,5.500647068023682,24.530329942703247,0.5409684181213379,1.886441707611084,-1.4228248e-05,3,40000,100,-120.23621139862226,6.082834959030151,-0.016040873,-25.15520302978483
3.477017879486084,0.03976273536682129,-19.393693914571955,35.54726354986546,57.26301155648347,5.552014350891113,30.611342430114746,0.46472787857055664,1.8965458869934082,-1.42016015e-05,4,50000,100,-109.17059283825475,6.057054758071899,-0.01480569,-30.98639640933717
3.436065435409546,0.040872812271118164,-12.87426519749387,25.999607071121517,40.38854809873128,5.5136871337890625,36.596765756607056,0.407909631729126,1.90090012550354,-1.4197931e-05,5,60000,100,-99.90457126714864,5.963119745254517,-0.015617471,-19.54188817376425
3.4545369148254395,0.046257972717285156,-17.427069559471104,29.757780782017157,53.52730982387509,5.517304182052612,42.52234697341919,0.34331798553466797,1.8845672607421875,-1.4178314e-05,6,70000,100,-97.90933944614105,5.9072105884552,-0.015805624,-27.7283564458551
3.837881088256836,0.06430196762084961,-12.96311602122033,31.097619652512442,93.80455384242822,6.076482534408569,49.067270040512085,0.3866536617279053,2.0435774326324463,-1.4166393e-05,7,80000,100,-92.16518918371747,6.528039932250977,-0.015080029,-20.307422593711117
4.3418073654174805,0.04712319374084473,-13.649511364294687,31.675160208513372,32.56801219994171,6.92672061920166,56.438451051712036,0.3780999183654785,2.3687984943389893,-1.4173506e-05,8,90000,100,-134.81647914022358,7.352252960205078,-0.014397429,-21.65525144612655
4.36799693107605,0.05008649826049805,-10.033660990506903,27.440998853179362,43.99513707066869,6.977179288864136,63.87478804588318,0.39042067527770996,2.3945846557617188,-1.4146636e-05,9,100000,100,-85.95050335705464,7.417954921722412,-0.013649708,-16.015962817320585
4.280237197875977,0.05151653289794922,-14.196291825192645,31.371900665682237,30.843489614515544,6.868772745132446,71.2006049156189,0.38657569885253906,2.3728833198547363,-1.4142827e-05,10,110000,100,-120.80877537771721,7.307128429412842,-0.017110273,-22.814893480204965
4.705535173416138,0.05684041976928711,-16.9069637469922,27.998779090520642,25.02567538589353,7.487693548202515,79.25129508972168,0.48735785484313965,2.5539889335632324,-1.4125004e-05,11,120000,100,-110.22617663479394,8.032218933105469,-0.013721532,-26.574198876240573
5.24338173866272,0.05136561393737793,-14.22837194913782,29.517691646437115,41.58802859359735,8.356730222702026,88.01547122001648,0.3304178714752197,2.8592917919158936,-1.4115419e-05,12,130000,100,-140.64098980609327,8.738791227340698,-0.017003752,-22.582051523551883
3.5648863315582275,0.03633475303649902,-12.388706996675946,30.068891397636236,40.8103388909742,5.638991355895996,94.04598879814148,0.3393864631652832,1.8942914009094238,-1.4088579e-05,13,140000,100,-106.58020054325927,6.014898061752319,-0.016852792,-19.922376782113666
3.6171743869781494,0.04208540916442871,-12.051135908367398,28.237633433983923,45.94767346464284,5.755462884902954,100.20797610282898,0.3487558364868164,1.9564108848571777,-1.406087e-05,14,150000,100,-84.79208302715513,6.146718978881836,-0.0153134605,-19.94368706741624
3.6323113441467285,0.0382843017578125,-10.873145552268152,30.999509570642587,78.45515380170077,5.775444030761719,106.39092421531677,0.35378599166870117,1.9584543704986572,-1.4034843e-05,15,160000,100,-103.38341798764084,6.1676928997039795,-0.016663067,-18.506052925905866
3.8993325233459473,0.0719757080078125,-8.42148934966788,28.850158067134036,47.474800430502,6.219265699386597,113.07337689399719,0.37497711181640625,2.1242434978485107,-1.3998452e-05,16,170000,100,-94.91348994164339,6.666534662246704,-0.016586352,-13.529160269794534
4.338843107223511,0.05276083946228027,-7.331655059639062,26.478386326278194,49.940835146489206,6.95651650428772,120.4772322177887,0.3730430603027344,2.400099277496338,-1.3967413e-05,17,180000,100,-89.2286696884251,7.38266134262085,-0.01717146,-11.974511420347865
4.28180193901062,0.09062767028808594,-8.82207713758292,24.73850086723457,50.85935348711897,6.829667568206787,127.75510287284851,0.33272266387939453,2.3356916904449463,-1.39511e-05,18,190000,100,-64.96403879146627,7.257585525512695,-0.016026398,-13.529533701758778
3.664402961730957,0.09044933319091797,-8.957878955399977,26.196909992181652,49.30865094620236,5.802688121795654,134.00628280639648,0.3423619270324707,1.9538006782531738,-1.3941669e-05,19,200000,100,-78.1844215024725,6.2357282638549805,-0.01478012,-15.429642708712434
3.7581350803375244,0.043224334716796875,-7.551495405663613,27.148999136508912,45.66262924473103,5.980884790420532,140.3909502029419,0.3435845375061035,2.032623767852783,-1.3903214e-05,20,210000,100,-73.28006866519603,6.367953300476074,-0.016777864,-12.983542215954165
3.7115414142608643,0.04353022575378418,-7.94528707917193,25.839206504090832,67.77916514980086,5.925180435180664,146.73587465286255,0.35861873626708984,2.015596628189087,-1.3898883e-05,21,220000,100,-81.45718072968148,6.32755446434021,-0.016537094,-12.640435079130793
4.348552703857422,0.052046775817871094,-7.6806830353936535,26.2469255149932,45.339300521326216,6.9698662757873535,154.1495578289032,0.37314867973327637,2.4074642658233643,-1.3862133e-05,22,230000,100,-112.72374003855717,7.395303249359131,-0.01688948,-12.579652804817062
5.387085914611816,0.0610964298248291,-7.950413800056172,24.768005501926254,50.8106759064078,8.680957317352295,163.3773262500763,0.4648423194885254,3.0258171558380127,-1.3838029e-05,23,240000,100,-68.12656604332466,9.207187175750732,-0.014701766,-12.480638733871553
5.515542030334473,0.0532529354095459,-6.332019135734627,25.55544255538895,41.36793921026504,8.793439388275146,172.5849268436432,0.3317532539367676,3.0140128135681152,-1.3780679e-05,24,250000,100,-69.39938500057173,9.178825378417969,-0.018696235,-10.487508073788229
3.699970006942749,0.04449033737182617,-5.431281177620295,26.35763896217533,48.491550313058696,5.899381399154663,178.88813638687134,0.341876745223999,2.0128097534179688,-1.3732963e-05,25,260000,100,-106.04201062848783,6.286039352416992,-0.018031023,-9.033714526830302
3.7301108837127686,0.04115939140319824,-5.148337468469973,24.136874055134232,34.5123131784705,5.913874387741089,185.21739625930786,0.3555784225463867,1.9997625350952148,-1.3715719e-05,26,270000,100,-87.48941514517034,6.310847759246826,-0.017731301,-9.134145363630632
3.7450551986694336,0.04453587532043457,-4.258414636190049,19.85844866305149,46.12575730835829,5.992409706115723,191.63250422477722,0.3604271411895752,2.0578203201293945,-1.3676923e-05,27,280000,100,-59.07770050035744,6.397582769393921,-0.0170989,-6.90582209812579
4.078404188156128,0.0532689094543457,-6.792241231831006,25.05662932458899,39.052129329774715,6.522450923919678,198.60655903816223,0.38149142265319824,2.238807439804077,-1.3659059e-05,28,290000,100,-86.64988824525216,6.957417726516724,-0.016807362,-10.360485337876726
4.581019401550293,0.06752133369445801,-5.448225082657354,27.68807909171827,56.23355824537332,7.358951807022095,206.52249836921692,0.4710354804992676,2.5485777854919434,-1.3633985e-05,29,300000,100,-102.5294672055008,7.898110628128052,-0.01808949,-9.112459014586813
5.49337363243103,0.11227297782897949,-1.8916274676491187,28.59177244238655,55.62960586249919,8.802346467971802,215.93900227546692,0.47404956817626953,3.04291033744812,-1.359581e-05,30,310000,100,-118.36458790842072,9.388986110687256,-0.016041102,-4.500856384384081
5.47966456413269,0.06338071823120117,-2.797535698295506,26.858926971678013,59.639204143132744,8.769064664840698,225.20549988746643,0.40640735626220703,3.022390365600586,-1.3576603e-05,31,320000,100,-91.5618556348791,9.239178895950317,-0.016430583,-4.944446616473739
5.452255010604858,0.05476069450378418,-3.4652745737743493,25.11778149251561,48.6214233097562,8.701109886169434,234.41712045669556,0.4306015968322754,2.9853899478912354,-1.35470955e-05,32,330000,100,-83.71099544684489,9.186826944351196,-0.016507704,-6.087429662205832
5.457473516464233,0.0909116268157959,0.7394561471154297,25.9230122854561,64.04115338162181,8.77738332748413,243.75208139419556,0.4295384883880615,3.0529260635375977,-1.3515796e-05,33,340000,100,-56.08644869689264,9.309402227401733,-0.01763589,0.44634723191018993
