train-NumTrajs,LossAfter,Itr,train-MaxReturn,n_timesteps,ItrTime,train-MinReturn,LossBefore,Time,Time-SampleProc,Time-Sampling,train-AverageDiscountedReturn,Time-Optimization,train-StdReturn,train-AverageReturn,train-EnvExecTime,train-PolicyExecTime
100,-6.1217313,0,172.95089797190093,10000,28.50755524635315,-194.79155678193425,-0.008832138,28.507563591003418,0.054326534271240234,26.326817274093628,-12.257062347218556,2.125706911087036,99.37882133328159,-41.61909064033732,11.103674173355103,14.511574745178223
100,-0.1270105,1,209.7577073957128,20000,27.16204071044922,50.66083800476429,-0.0037894286,55.7743353843689,0.06031656265258789,25.49596929550171,90.68278621385811,1.604996681213379,31.599100644625462,151.20774746856887,10.88509488105774,13.920810222625732
100,-0.07654797,2,195.04256038881385,30000,27.012788772583008,117.4071733582413,0.026960583,82.85185670852661,0.06320691108703613,25.361246347427368,98.61671306348244,1.5873386859893799,18.441830218719346,167.89815257391066,10.946203470230103,13.725252389907837
100,-0.69694823,3,183.6011941781282,40000,27.004631757736206,133.53248463005716,0.003815091,109.92013740539551,0.06314778327941895,25.61841130256653,100.9593652964184,1.3218045234680176,9.017191883219187,172.48372633308335,11.085754156112671,13.83642840385437
100,-3.4272075,4,180.5798849740438,50000,27.02800416946411,148.84454777956412,0.0027030625,137.0083086490631,0.07463884353637695,25.79481863975525,98.95130964388649,1.1561834812164307,6.976572747888111,167.8024309785013,11.116271495819092,13.986639976501465
100,-13.947897,5,160.3546885669502,60000,27.312345266342163,130.8226885471121,0.011391528,164.37840962409973,0.04668784141540527,26.17703104019165,91.44082671865623,1.087939977645874,5.531249748465195,148.99017651142714,11.237314939498901,14.221864938735962
100,-4.9285173,6,117.30419555901994,70000,27.593857049942017,58.84954265054426,-0.0036268693,192.04234862327576,0.04199481010437012,26.48003315925598,68.38031202201799,1.0707433223724365,11.902303771221767,99.45158509162468,11.397225141525269,14.379180431365967
100,-8.945021,7,140.3342628851834,80000,26.96291732788086,-3.7151968676046216,-0.0077324407,219.07519698143005,0.04711508750915527,25.838855028152466,49.30115773192934,1.076169729232788,34.02737262412549,62.500871274553035,11.110999584197998,14.02356505393982
100,-10.952946,8,100.66807738189827,90000,26.934646368026733,-19.25715914672041,0.0092139775,246.08025407791138,0.037584781646728516,25.809988021850586,35.57605500552914,1.0863261222839355,33.72269848489563,37.27912373574787,11.134105920791626,13.980178594589233
100,-5.6653876,9,108.28078935258912,100000,27.10574698448181,-24.932061260695722,-0.012816345,273.2542357444763,0.04072427749633789,25.992180347442627,42.92346569008675,1.0721163749694824,37.15694273152306,56.767787159531736,11.233115673065186,14.062642097473145
100,-1.7707485,10,116.30945586818417,110000,27.11176109313965,-53.0712602186071,-0.008989511,300.42933416366577,0.03925323486328125,26.00509023666382,40.321893057301665,1.0668120384216309,42.7260449340951,53.43429761972574,11.322566509246826,13.98272967338562
100,-0.62047887,11,129.85734940774404,120000,27.212572813034058,-26.71084312252964,0.009129443,327.70190238952637,0.03357672691345215,26.1024911403656,34.76034934002596,1.0757062435150146,47.062126625347034,36.40131131536641,11.42780876159668,13.972597599029541
100,-0.60278064,12,124.9295387486585,130000,27.187344789505005,-53.989239646972855,0.0154277645,354.96510767936707,0.05387377738952637,25.90834355354309,29.607550001716,1.223522424697876,44.345695322453295,24.855319126194164,11.339356899261475,13.873406648635864
100,-0.56111187,13,128.08565001057707,140000,27.311229944229126,-63.87165179509402,-0.0102629885,382.3373749256134,0.06112074851989746,25.98521614074707,26.44731385825826,1.2636644840240479,42.923929807436004,17.434131308405902,11.336049556732178,13.955138206481934
100,-0.4703305,14,123.64620246482801,150000,27.070618152618408,-61.18092765926495,0.0155250365,409.4688355922699,0.05952310562133789,25.635985612869263,27.64451808835476,1.3744449615478516,40.01544409877693,20.677287184944852,11.229334592819214,13.711061000823975
100,-0.42616308,15,127.23220753561026,160000,27.247096061706543,-128.48196507837886,-0.012275672,436.77319717407227,0.05068778991699219,25.49432682991028,23.25253119640395,1.701308012008667,47.57489789362519,16.265221570137324,11.179586172103882,13.615625381469727
100,-0.5521849,16,111.06173069441923,170000,27.105846166610718,-133.1736736427923,0.006306641,463.9411861896515,0.053704261779785156,25.47551131248474,12.53386157425317,1.5756886005401611,46.97740862238249,0.589189105310735,11.10986614227295,13.673752784729004
100,-4.0157256,17,88.74281603912732,180000,26.566837787628174,-168.77027608647475,0.020961378,490.5919246673584,0.03950810432434082,25.432647466659546,-14.118928801798482,1.092541217803955,51.71797170824497,-45.30631627689289,11.052501201629639,13.686391115188599
100,-10.8633,18,70.13416015875131,190000,27.06356453895569,-136.6816550781179,-0.015010717,517.7453398704529,0.03841447830200195,25.940061807632446,-12.670248359470497,1.0837352275848389,51.63721216480269,-40.759372772758056,11.254660367965698,13.967205047607422
100,-11.387365,19,35.12102990505355,200000,27.73746085166931,-202.07014732200503,0.004298962,545.5519306659698,0.03911638259887695,26.559595346450806,-72.3587335307297,1.137890338897705,47.37274765513675,-149.75038601264828,11.841720581054688,14.019170045852661
100,0.24559376,20,-87.3505948318609,210000,28.4258291721344,-146.02062966494518,0.013884982,574.0634074211121,0.04186272621154785,26.716211795806885,-62.55807412722155,1.6664414405822754,8.233306053631756,-131.36849856926008,12.019399404525757,13.9984610080719
100,0.09967174,21,-39.55665643025062,220000,27.551965475082397,-52.959442532728765,-0.013036232,601.6834399700165,0.06591391563415527,25.94394564628601,-15.364065193361357,1.5405950546264648,2.7013590766971745,-46.977302744877186,11.51344633102417,13.736500024795532
