train-MinReturn,n_timesteps,Time-Optimization,LossAfter,Time-Sampling,train-PolicyExecTime,train-NumTrajs,Itr,LossBefore,Time,train-StdReturn,train-AverageReturn,ItrTime,train-AverageDiscountedReturn,Time-SampleProc,train-EnvExecTime,train-MaxReturn
-95.75340701601442,10000,2.4153802394866943,0.025598066,27.338343620300293,16.834505558013916,100,0,4.577637e-09,29.934827089309692,28.530864357260644,-26.42998261813238,29.934813737869263,-17.39556615521756,0.18011856079101562,9.68075156211853,69.96157860604829
-125.35280180487959,20000,1.7593073844909668,-0.0005979614,25.406493663787842,15.49345588684082,100,1,0.026676135,57.4108989238739,35.102053584865814,-29.183342757531758,27.32405734062195,-19.106745459075935,0.15643858909606934,9.162530422210693,51.416777432885446
-129.7423233124256,30000,1.9401922225952148,-0.0145952515,24.848304510116577,15.134891748428345,100,2,1.8310548e-08,84.53225755691528,33.19265133005334,-35.816907845213535,26.91864037513733,-22.233155061694443,0.12806987762451172,8.966354131698608,28.529827110857664
-99.45161227514372,40000,2.1760685443878174,-0.01488447,25.215524435043335,15.359059572219849,100,3,-9.155274e-09,112.22672939300537,30.83740043832396,-22.147538241714507,27.541334867477417,-15.07908809181219,0.1480851173400879,9.094590663909912,46.28788785833386
-99.92990646899554,50000,2.2461793422698975,-0.015928488,24.51113772392273,14.770638704299927,100,4,-3.0517577e-09,139.24426984786987,30.375850431050893,-29.310164177426117,26.90607452392578,-18.484982259185355,0.14648985862731934,8.983908414840698,37.59608276132339
-84.97045760608876,60000,2.2754828929901123,-0.014504086,24.291993379592896,14.638185739517212,100,5,-1.2207031e-08,166.07402420043945,28.75051774321089,-26.13061355046188,26.733991146087646,-17.067273604495117,0.1651778221130371,8.90354585647583,35.33996347146095
-97.96212963630542,70000,2.211636781692505,-0.017295657,24.346877813339233,14.634543180465698,100,6,-1.411438e-08,193.04309606552124,30.61346320995085,-23.220733900288145,26.874608039855957,-15.159809870604134,0.3036530017852783,8.950159311294556,55.80620126482643
-94.4054616059887,80000,1.987307071685791,-0.01586286,24.954821586608887,15.123596429824829,100,7,1.0681152e-08,220.2971067428589,28.75860002055807,-24.57309372394947,27.18614149093628,-16.194260129188855,0.24270081520080566,9.069464206695557,34.97626382289215
-101.10759477846695,90000,1.680506944656372,-0.014315509,23.107890605926514,13.901175737380981,100,8,1.0681152e-08,245.41689896583557,33.78449627864411,-20.519551917212716,25.049802780151367,-13.328559138363223,0.26059842109680176,8.480372905731201,54.9060104935715
-118.85639388773825,100000,1.7810277938842773,-0.016901217,22.991238117218018,13.838481426239014,100,9,-9.155274e-09,270.5140869617462,33.82479360700205,-28.798513477972215,25.02842664718628,-18.900197701007524,0.2545042037963867,8.447843551635742,44.2793099993532
-115.22560116846654,110000,1.4439973831176758,-0.014663854,23.28197693824768,14.016677379608154,100,10,8.010864e-09,295.57872128486633,34.674217522321534,-19.719444283501375,25.00309944152832,-12.306176002635313,0.2760326862335205,8.524765491485596,60.873398170317564
-107.51878324807365,120000,1.5296862125396729,-0.01453295,23.344075202941895,14.129668474197388,100,11,1.6784668e-08,320.6809494495392,31.154464216600974,-20.377169798964943,25.040933847427368,-12.564764531128814,0.16525554656982422,8.510672569274902,69.41139968362648
-87.60878542346158,130000,1.3919389247894287,-0.017031213,23.63431191444397,14.308332204818726,100,12,-1.8310548e-08,345.9795870780945,27.94595917973423,-22.418765007910643,25.234638690948486,-14.161025802103325,0.20601773262023926,8.605947732925415,43.08924037740615
-101.6105574181478,140000,1.2277638912200928,-0.017090136,23.645747900009155,14.329056978225708,100,13,1.8310548e-08,371.0936255455017,28.3745785615453,-14.596647421697533,25.051092863082886,-9.222476673489647,0.17626094818115234,8.61434555053711,67.731921306777
-166.64628899820062,150000,1.3904051780700684,-0.015083406,23.480388641357422,14.19713544845581,100,14,-9.155274e-09,396.2160441875458,31.083500929029572,-19.851838707479573,25.05902075767517,-12.954350726804215,0.187455415725708,8.5831139087677,45.60583880011686
-123.68582887692224,160000,1.38519287109375,-0.016661001,23.38143825531006,14.129349946975708,100,15,-5.722046e-09,421.24038457870483,32.129368742134524,-15.208464576660623,24.963209629058838,-9.580994219178306,0.1954178810119629,8.541511058807373,48.74845740461726
-115.10056685238774,170000,1.3435742855072021,-0.014497894,23.475480556488037,14.17405080795288,100,16,2.4414062e-08,446.2756085395813,31.779708984881495,-18.43673028375421,24.974485397338867,-12.104434224630443,0.15418362617492676,8.586686849594116,36.17251367489704
-139.75318497958793,180000,1.3047010898590088,-0.016050873,23.444743156433105,14.149702787399292,100,17,3.0517577e-09,471.27041935920715,28.365746827064893,-18.247756619166495,24.932143688201904,-11.586207530574239,0.18155980110168457,8.584948062896729,50.951963519046714
-120.00087577850441,190000,1.2995333671569824,-0.015588,23.475017309188843,14.208078861236572,100,18,-1.8310548e-08,496.3318016529083,31.09947807312594,-19.468604662140265,24.993613719940186,-11.91983000054674,0.21804070472717285,8.554194927215576,56.53264021067841
-86.67519908382512,200000,1.4217913150787354,-0.015899615,23.395626306533813,14.091904401779175,100,19,-3.0517577e-09,521.3941278457642,25.450278722919286,-11.530569275760863,24.999638319015503,-7.634117707968387,0.16772031784057617,8.592229843139648,44.68665215195934
-94.16422549941855,210000,1.2233974933624268,-0.015012045,23.488691568374634,14.18593454360962,100,20,-6.1035155e-09,546.3794474601746,29.32020435107369,-11.571008311043675,24.9176983833313,-6.966751874858228,0.20443105697631836,8.597062826156616,65.38577500158564
