train-PolicyExecTime,train-NumTrajs,Time-Optimization,n_timesteps,train-MaxReturn,LossBefore,Time-SampleProc,Time-Sampling,Time,Itr,train-AverageReturn,ItrTime,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,LossAfter,train-EnvExecTime
11.246394157409668,100,0.8490214347839355,10000,37.059813246607746,-1.4184808e-05,0.256411075592041,14.79046368598938,15.898184776306152,0,-40.19663584937988,15.898180961608887,34.82765164667828,-25.3469240786519,-130.11362998529793,-0.010395315,3.2085161209106445
12.552818775177002,100,0.28992223739624023,20000,38.25782887383804,-1.4174489e-05,0.14193439483642578,16.821570873260498,33.214900732040405,1,-41.06417310847918,17.256136655807495,34.68609574401359,-25.323651588910252,-127.33941115474794,-0.012676964,3.8905794620513916
13.714035272598267,100,0.3607504367828369,30000,55.80479449395085,-1.4157377e-05,0.07127261161804199,18.415430068969727,52.078951597213745,2,-43.969934482006096,18.85660719871521,37.196613096644796,-26.978782019454062,-134.98117134799014,-0.013666838,4.293613433837891
11.170971155166626,100,0.3552265167236328,40000,31.873325082760903,-1.4115055e-05,0.04888510704040527,14.629814624786377,67.12034034729004,3,-35.22287629472883,15.034457683563232,34.34427071235195,-22.9187853675018,-140.40071651797788,-0.012421847,3.1426162719726562
11.106853246688843,100,0.3333618640899658,50000,53.773993758062,-1.4113081e-05,0.15390419960021973,14.642747402191162,82.25898480415344,4,-33.578028947111534,15.130587100982666,35.21830296186198,-20.946850132598705,-156.77145765411927,-0.01383818,3.1909661293029785
15.860109567642212,100,0.46204423904418945,60000,29.703838971833253,-1.40789125e-05,0.1779768466949463,21.04657793045044,103.95552682876587,5,-36.112700230253076,21.68730926513672,33.45409167806175,-23.441214592161355,-121.14514451752612,-0.011213506,4.739686965942383
18.23094153404236,100,0.44094204902648926,70000,36.789714718292025,-1.406783e-05,0.16853117942810059,23.863736867904663,128.4477789402008,6,-29.232496157172594,24.475067138671875,33.069947239296695,-18.938445017594166,-138.37469834021408,-0.013675311,5.13091516494751
16.298665046691895,100,0.6757235527038574,80000,40.137551218070406,-1.405764e-05,0.16438937187194824,21.620569467544556,150.92661476135254,7,-27.854605235083014,22.46168041229248,31.294402181171233,-17.238705976144658,-159.45443643925435,-0.011966659,4.861501932144165
15.391767740249634,100,0.47751808166503906,90000,56.27213226225879,-1.4035819e-05,0.14183664321899414,20.721898794174194,172.2831587791443,8,-21.409584006845165,21.341878175735474,31.31115737398841,-13.797788358343198,-114.0154788858163,-0.0116381915,4.873175144195557
17.357356071472168,100,0.5410230159759521,100000,36.865090875019185,-1.4020214e-05,0.1554114818572998,22.69072723388672,195.69498872756958,9,-21.281563458039223,23.388522148132324,29.74473251550786,-13.954524580724115,-122.26855895006221,-0.0129412925,4.878026723861694
16.14214038848877,100,0.49424171447753906,110000,41.399930223586836,-1.4000032e-05,0.12641119956970215,21.467348098754883,217.80210256576538,10,-25.04430775446238,22.09092426300049,31.74412300311842,-15.880877828063126,-121.42936972818757,-0.011512962,4.85357928276062
16.869314908981323,100,0.4764571189880371,120000,50.581878946828084,-1.3988248e-05,0.13028311729431152,22.328262090682983,240.7626452445984,11,-16.50596189253988,22.939696550369263,30.054433764812742,-10.843802614482252,-102.20051502271357,-0.013037647,4.975417613983154
15.682595252990723,100,0.43696117401123047,130000,34.072572601235954,-1.39701615e-05,0.15254974365234375,21.100072860717773,262.475789308548,12,-22.626552017463126,21.692769050598145,27.824711113622385,-13.966763438798376,-82.54685292142604,-0.011826,4.954345464706421
16.796043395996094,100,0.559668779373169,140000,53.757792184479456,-1.3946853e-05,0.2209327220916748,22.306649446487427,285.5899848937988,13,-20.381685209775856,23.09798502922058,25.700620764260496,-12.683136270654348,-89.63448639419418,-0.011737632,5.024082899093628
16.87718653678894,100,0.5244851112365723,150000,32.35263803626054,-1.3911172e-05,0.16198110580444336,22.484941005706787,308.7879855632782,14,-21.537186398188222,23.17256236076355,28.635244148560936,-13.224837357533602,-112.48896681957726,-0.012163622,5.116443157196045
15.847973108291626,100,0.6324548721313477,160000,53.375562605318784,-1.3911428e-05,0.12771034240722656,21.33152174949646,330.90116238594055,15,-12.96305672284233,22.096096992492676,27.626279632016637,-8.425481303978268,-107.7098022562792,-0.011853598,4.993994235992432
15.131819725036621,100,0.41515231132507324,170000,31.97377403909261,-1.3892375e-05,0.14372634887695312,20.368870496749878,351.8459801673889,16,-17.264669915248376,20.9284770488739,25.73007650466295,-10.346309779473767,-106.4918983987302,-0.011722452,4.791279077529907
15.075581789016724,100,0.5840160846710205,180000,80.0928917436812,-1.3885631e-05,0.2118215560913086,20.248269081115723,372.906054019928,17,-15.208216613108375,21.049074411392212,26.926482639490164,-10.155039318237286,-76.3608363535129,-0.011575102,4.723504066467285
16.214975595474243,100,0.4563944339752197,190000,76.56927316523468,-1.3870682e-05,0.14214658737182617,21.540084838867188,395.0697891712189,18,-20.567273380589672,22.139570236206055,31.461467649960856,-12.810490191320211,-144.34994432093768,-0.013364305,4.8611321449279785
16.471738815307617,100,0.4882221221923828,200000,48.480033729730316,-1.3867923e-05,0.1494002342224121,21.91874098777771,417.649302482605,19,-16.334964507168277,22.55748963356018,30.803426485297763,-9.789417841136608,-106.55766768483926,-0.010313634,4.972918272018433
18.624401807785034,100,0.47678589820861816,210000,42.22456016341187,-1.384173e-05,0.16296839714050293,24.13094925880432,442.43950963020325,20,-17.315344900777223,24.771897315979004,27.891705869754546,-10.493796301130251,-89.06046244362585,-0.012651637,5.0073161125183105
