LossAfter,Time-Optimization,Itr,Time-SampleProc,LossBefore,Time,train-StdReturn,train-AverageReturn,train-EnvExecTime,train-PolicyExecTime,train-MaxReturn,train-MinReturn,Time-Sampling,ItrTime,train-NumTrajs,train-AverageDiscountedReturn,n_timesteps
-0.5498047,0.546630859375,58,0.01264500617980957,-0.007665454,517.6612272262573,47.73745209190987,-6.912601645170646,3.347160816192627,5.622925519943237,116.02943452178177,-136.2871286042065,9.264459133148193,9.823995351791382,100,-4.944484517725266,590000
-1.7881337,0.7400588989257812,59,0.03210186958312988,0.023763036,527.8245620727539,48.09058479252102,-11.936725493914263,3.3815300464630127,5.694926500320435,96.42983859721704,-129.524497944479,9.372315406799316,10.144817352294922,100,-8.372204743472524,600000
-0.7130334,0.5270493030548096,60,0.01145315170288086,0.0101787355,537.6112666130066,41.29592673949948,-16.351088053867976,3.332920789718628,5.601205825805664,88.6846247194834,-116.46456419085152,9.222192287445068,9.760976314544678,100,-10.733238601730998,610000
-0.6564033,0.7508504390716553,61,0.0219724178314209,0.0055299317,547.6473743915558,46.04117198709669,-23.37039017662853,3.345538854598999,5.602680206298828,58.71788718883207,-195.14437751860234,9.244592666625977,10.017816543579102,100,-14.329877400219566,620000
-2.413392,0.5325772762298584,62,0.013735055923461914,-0.004336987,557.5255165100098,50.951944660309266,-7.366657683557423,3.3614611625671387,5.63925838470459,95.74056894076584,-174.52145117060942,9.295517683029175,9.842300415039062,100,-4.3118521738268525,630000
-4.011424,0.5440816879272461,63,0.014106273651123047,-0.0016006897,566.0066025257111,46.059313453337836,-10.8794987124335,2.834582567214966,4.8215415477752686,105.19149918849104,-130.69147232643567,7.90401816368103,8.462724685668945,100,-6.379236698718824,640000
-1.9587543,0.6603283882141113,64,0.021934032440185547,0.005828027,576.3890459537506,38.62773605376715,-14.57943578508346,3.5039076805114746,5.857006311416626,90.22500437276504,-102.77165881746113,9.682344913482666,10.364970922470093,100,-10.124613066516346,650000
-1.1316947,0.6346476078033447,65,0.016996145248413086,0.017035693,586.8551967144012,42.77748635435757,-20.749039005539043,3.551985740661621,5.909642934799194,76.22998168178634,-125.29212216015081,9.786966800689697,10.43897008895874,100,-13.479627585543037,660000
-0.6973279,0.5144941806793213,66,0.011863231658935547,-0.003143164,595.6739416122437,46.28225439122794,-22.258151465288524,2.9901223182678223,5.017466306686401,81.25838093659587,-147.49480116334234,8.267682313919067,8.794319152832031,100,-15.36860713639128,670000
-0.4253934,0.6317095756530762,67,0.01855778694152832,0.02475481,606.9957799911499,51.494138810625195,-24.523466738712543,3.8777825832366943,6.442699432373047,75.56326609613414,-161.02082719139497,10.65241265296936,11.30298662185669,100,-16.073172288271426,680000
-0.71317923,0.5324239730834961,68,0.012406349182128906,0.024118433,615.8247203826904,46.23314890694201,-27.810984654750037,2.9757680892944336,5.021557092666626,76.23468876331279,-158.7594416248605,8.25749397277832,8.802728414535522,100,-18.856728155383593,690000
-2.3074923,0.6441760063171387,69,0.01696467399597168,0.028739892,627.1838164329529,48.62675990246093,-34.49928800519369,3.8616368770599365,6.486659288406372,106.80528538658238,-214.03157918877113,10.679197549819946,11.340662002563477,100,-22.1538303624968,700000
-10.363607,0.5647549629211426,70,0.014547348022460938,0.0070212404,637.3500185012817,43.606103541178605,-51.4465331186182,3.506188154220581,5.75391411781311,81.63270690399852,-173.5406236406451,9.55881404876709,10.138393640518188,100,-33.659996655971625,710000
-35.254658,0.5555241107940674,71,0.017060279846191406,-0.011065674,645.9201607704163,54.69118194122542,-53.405448183846445,2.877319097518921,4.841574668884277,70.53522331168908,-187.53500066618855,7.974385738372803,8.547268629074097,100,-35.70730900706132,720000
