train-AverageReturn,Time-Sampling,train-PolicyExecTime,n_timesteps,train-AverageDiscountedReturn,LossBefore,Time-SampleProc,train-NumTrajs,ItrTime,Time,train-MaxReturn,Itr,train-MinReturn,Time-Optimization,train-EnvExecTime,train-StdReturn,LossAfter
-34.07819536276768,6.032169342041016,3.7136688232421875,10000,-21.33851865593681,-1.4193582e-05,0.10285186767578125,100,6.690613746643066,6.690616607666016,32.54647783018041,0,-159.4999220397715,0.5553054809570312,2.121180772781372,38.88385123299246,0.04772693
-32.060350801718734,5.6854469776153564,3.492307662963867,20000,-21.792270643454007,-1.4242142e-05,0.05705428123474121,100,6.123217344284058,12.842722654342651,47.74442969848559,1,-109.84269623695695,0.37796950340270996,2.0060086250305176,33.641502131547284,0.002594245
-34.06262395189644,5.879167079925537,3.6448802947998047,30000,-21.73451295119562,-1.4249381e-05,0.08448648452758789,100,6.317990064620972,19.176511526107788,81.35499973824263,2,-143.29814005403497,0.3538854122161865,2.038465976715088,36.55428200557556,-0.016798336
-36.72633777778637,6.0818235874176025,3.7270777225494385,40000,-23.276359594885196,-1.4247666e-05,0.05391716957092285,100,6.522291660308838,25.711215019226074,38.68665460202416,3,-119.43322739580263,0.3861851692199707,2.1427242755889893,30.080908355666292,-0.01756754
-27.094376061399338,5.914551496505737,3.61134934425354,50000,-17.82092459544962,-1.4221372e-05,0.11982131004333496,100,6.445543527603149,32.16763424873352,73.37183953787134,4,-133.67672454340166,0.4107687473297119,2.1033596992492676,34.26137610721972,-0.016848557
-24.252148504129767,5.768235921859741,3.5546464920043945,60000,-15.669486740857169,-1.42102235e-05,0.11843609809875488,100,6.215106010437012,38.3945677280426,82.2241064458622,5,-111.78653671416372,0.32801246643066406,2.0181281566619873,31.90220985609937,-0.017729647
-28.06495329479773,5.598778247833252,3.4340951442718506,70000,-17.992011478276467,-1.4197543e-05,0.07520842552185059,100,6.0177836418151855,44.42209196090698,65.32364704783484,6,-107.31916221665705,0.3366208076477051,1.976163387298584,32.40247333921905,-0.017573308
-26.519638384158796,6.040507078170776,3.7199039459228516,80000,-17.1303018171594,-1.4187546e-05,0.07885193824768066,100,6.475934982299805,50.913487672805786,100.3700556579552,7,-137.52257777688055,0.3563082218170166,2.1185803413391113,34.12675071690169,-0.018889489
-26.434953722389437,5.977093458175659,3.696424722671509,90000,-16.870500552715217,-1.4181401e-05,0.08888721466064453,100,6.332034587860107,57.26164960861206,61.645636438063924,8,-92.06819493923278,0.2652101516723633,2.080981492996216,30.924305531755483,-0.01647242
-25.711080244727963,6.040170669555664,3.7304041385650635,100000,-15.787724674256255,-1.4185113e-05,0.07196927070617676,100,6.334664344787598,63.60707426071167,30.184431535814937,9,-107.06744477311766,0.2221081256866455,2.098780393600464,26.814509938534986,-0.01642163
-23.16971377662098,5.965370178222656,3.657952308654785,110000,-14.206592025462369,-1.4161528e-05,0.10718607902526855,100,6.288652181625366,69.90722990036011,44.05142206529954,10,-120.75942424772143,0.21583056449890137,2.1067898273468018,29.367886988490035,-0.015865123
-25.012047853948513,5.888224363327026,3.628566265106201,120000,-15.536493152423118,-1.4148918e-05,0.04581761360168457,100,6.157410144805908,76.07613015174866,54.0737926621627,11,-85.81622921544223,0.22312188148498535,2.0580790042877197,23.06356999339339,-0.0153724495
-22.289501560081103,5.863902568817139,3.6095292568206787,130000,-14.211870369084142,-1.41410555e-05,0.08390235900878906,100,6.199099779129028,82.28584933280945,62.69908163520467,12,-135.01036835616182,0.25081634521484375,2.0569097995758057,32.41319058482029,-0.017275197
-17.290687910921417,6.2820422649383545,3.9113872051239014,140000,-10.762684538019666,-1.4144183e-05,0.05057978630065918,100,6.57160210609436,88.86984610557556,33.033330962699715,13,-90.2420948545352,0.23870563507080078,2.1644747257232666,27.67701762020578,-0.015076985
-17.768461349090796,5.8827455043792725,3.636932373046875,150000,-10.776597884810046,-1.41081755e-05,0.08687686920166016,100,6.192442417144775,95.07363963127136,38.597078654140056,14,-86.26082214863565,0.22187423706054688,2.0463669300079346,25.13476173388508,-0.016837263
-20.972135104717083,5.7554051876068115,3.5536954402923584,160000,-12.80659800577502,-1.406746e-05,0.041930437088012695,100,6.03772759437561,101.12165260314941,57.39676638566111,15,-91.24259733059557,0.24019169807434082,2.0055742263793945,26.491537274258143,-0.018718498
-17.105239817754672,6.242620944976807,3.844766616821289,170000,-10.33453074381537,-1.4033466e-05,0.04771113395690918,100,6.533332109451294,107.66588759422302,63.106199564143445,16,-105.84610061517513,0.24274754524230957,2.1889681816101074,30.057269413422187,-0.016358823
-16.087871165092636,6.022818088531494,3.72316312789917,180000,-9.990276210747208,-1.4012722e-05,0.04609251022338867,100,6.312171697616577,113.98961615562439,70.08641357685416,17,-100.04043984419947,0.24295663833618164,2.09942626953125,27.071238017131858,-0.018003594
-19.286790543977233,6.058931350708008,3.7395224571228027,190000,-11.547372877073682,-1.3991646e-05,0.0462946891784668,100,6.3368048667907715,120.33835196495056,29.81221073602913,18,-106.46151972561273,0.23133039474487305,2.118648052215576,26.86199862839612,-0.020294951
-13.95385889198119,5.8435235023498535,3.6017587184906006,200000,-8.000213714036581,-1.3957103e-05,0.05024099349975586,100,6.120511293411255,126.47046852111816,40.35295826395866,19,-97.13219458968949,0.22651910781860352,2.0435378551483154,26.132461608582048,-0.016498288
-14.584730325153265,5.619572877883911,3.4801104068756104,210000,-8.74851804853475,-1.39268495e-05,0.04395103454589844,100,5.895147085189819,132.37741041183472,45.0182259905435,20,-90.6889559959158,0.23142719268798828,1.9473481178283691,28.67327506279287,-0.01801437
