train-MinReturn,train-StdReturn,LossAfter,train-NumTrajs,n_timesteps,Time-Sampling,ItrTime,train-EnvExecTime,Itr,train-AverageReturn,train-AverageDiscountedReturn,LossBefore,train-MaxReturn,Time-Optimization,Time-SampleProc,Time,train-PolicyExecTime
-11.174852488196551,3.1552348885326498,0.039474223,100,10000,23.115319967269897,26.142306566238403,8.278650283813477,0,-1.5175674053842645,-1.3013163493057345,-1.4177178e-05,6.63863007055064,2.8630223274230957,0.1630244255065918,26.14231586456299,14.154041051864624
-9.60389363190122,3.4464524516899164,0.019531976,100,20000,23.56609082221985,25.330586671829224,8.50539493560791,1,-2.404757053875276,-2.387707670808072,-1.4219106e-05,10.37509597275561,1.5261456966400146,0.2371065616607666,51.574073791503906,14.368157625198364
-11.082658905123075,3.523594985151237,0.0009053626,100,30000,23.819348573684692,25.334990978240967,8.53792142868042,2,-2.8076411049853727,-2.7952215325317824,-1.42546505e-05,5.883696682094528,1.2785584926605225,0.23583030700683594,76.97382187843323,14.565621852874756
-10.95866193685107,2.914311972086597,-0.0009550852,100,40000,23.937374353408813,25.204684257507324,8.513518810272217,3,-2.5894873731681916,-2.1798740468581177,-1.4266648e-05,4.099989478843496,1.1262519359588623,0.14002680778503418,102.23924541473389,14.709123849868774
-9.213996099018775,2.6311719387711316,-0.0026850535,100,50000,23.912225484848022,25.120595932006836,8.553620100021362,4,-2.274870859463126,-2.0914609744636707,-1.4272155e-05,4.258563191227783,1.0855624675750732,0.12122845649719238,127.42627692222595,14.656043767929077
-8.022884893203226,3.15952338936552,-0.0018893485,100,60000,23.704447031021118,25.0058434009552,8.556109428405762,5,-1.5119199749619618,-1.6342208731250807,-1.42526005e-05,7.196349842282224,1.1064114570617676,0.19391107559204102,152.49740862846375,14.451843976974487
-6.441718445564717,2.7826068170508744,-0.0019507379,100,70000,23.53269386291504,25.221445560455322,8.407270669937134,6,-0.5858078593661756,-0.952615128338842,-1.4269106e-05,7.265551176860611,1.4211277961730957,0.26653242111206055,177.7801957130432,14.409407615661621
-9.222401644674749,3.352109544540407,-0.003925063,100,80000,23.363176345825195,25.25424885749817,8.345324993133545,7,-0.5171317818735873,-0.6520339654219974,-1.4243467e-05,9.168624148782483,1.7039227485656738,0.1858205795288086,203.10624885559082,14.32527756690979
-6.789518501713454,3.6475828635540237,-0.004876338,100,90000,22.902149200439453,25.078370809555054,8.28231167793274,8,0.7589324819760425,0.12652265182868444,-1.4250833e-05,10.788763524248633,2.005734920501709,0.16883182525634766,228.2535526752472,13.926515817642212
-5.489951420590584,4.801943413388957,-0.0077368184,100,100000,22.95615553855896,24.452295541763306,8.338584899902344,9,4.478837957346366,2.661153456372332,-1.4234765e-05,16.373159152145853,1.3832087516784668,0.1119842529296875,252.80908870697021,13.927778482437134
-4.719454350024869,5.019631735114353,-0.010504301,100,110000,23.643510341644287,24.843916416168213,8.494331359863281,10,8.122508929725933,5.171618770185869,-1.415954e-05,18.96350221250113,1.090458869934082,0.10812830924987793,277.74046516418457,14.452052593231201
-2.6719942887514057,5.524678951823679,-0.01082486,100,120000,24.154613733291626,25.413227081298828,8.684685707092285,11,13.149346880119817,8.322144324889678,-1.4124266e-05,23.32965624484309,1.1318466663360596,0.12605571746826172,303.2260642051697,14.766353130340576
-0.1059656128505545,5.756364536667019,-0.005702715,100,130000,24.344760417938232,25.558879137039185,8.868775367736816,12,16.05974079558603,10.611352580708424,-1.4077098e-05,26.391715317562763,1.0982334613800049,0.1151878833770752,328.85540771484375,14.742899417877197
1.1038399987764462,5.637017689416906,-0.010438941,100,140000,24.25839114189148,25.502474069595337,8.829986572265625,13,19.201113484441617,12.19649909421905,-1.40320035e-05,28.78630217309061,1.1193969249725342,0.12395930290222168,354.42667269706726,14.715369939804077
2.6727451722996407,5.045254086971061,-0.012568987,100,150000,24.375694751739502,25.598996877670288,8.912533044815063,14,20.923271123281292,13.440808928752613,-1.3987356e-05,29.00780231689665,1.111208438873291,0.11139893531799316,380.091432094574,14.74374532699585
8.211652793902283,3.4514306689436993,-0.008271937,100,160000,24.56447410583496,25.80937695503235,9.046634197235107,15,24.85649371875465,16.199151416692445,-1.3954615e-05,30.160519522359674,1.107757329940796,0.13639450073242188,405.96662044525146,14.807676076889038
19.093569258378096,2.278436832753353,-0.00619502,100,170000,24.4168643951416,25.63909411430359,9.077254056930542,16,25.82458571509639,17.170999806644055,-1.3911621e-05,31.020045617628178,1.0796234607696533,0.1418006420135498,431.668212890625,14.628902196884155
20.405586737097018,2.372389477151943,-0.0063801887,100,180000,24.75348949432373,25.980282306671143,9.14884877204895,17,26.58183597027949,17.914391389443654,-1.3852448e-05,30.790677561124753,1.0961713790893555,0.12997984886169434,457.71934604644775,14.886584520339966
21.044684442593336,2.0683966056403356,-0.0060633984,100,190000,24.456138849258423,25.663254499435425,9.107353210449219,18,26.774825177229523,18.34411187696917,-1.3818972e-05,31.5020938490332,1.0775341987609863,0.1287527084350586,483.45012378692627,14.6426420211792
1.43854744092697,3.244285413479633,-0.0054811947,100,200000,24.38398003578186,25.605475902557373,9.115406036376953,19,26.683683259125683,18.95323572423725,-1.375396e-05,31.42937798069279,1.0979385375976562,0.12292957305908203,509.12110590934753,14.55569577217102
20.649814401214602,2.121969018147121,-0.0053081196,100,210000,24.43950128555298,25.664112329483032,9.190406560897827,20,27.521521800023432,19.50029368534004,-1.370428e-05,31.638542092568564,1.1097428798675537,0.11414456367492676,534.8588891029358,14.54219365119934
