Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
0	1000	12.241437196731567	2000	2000	12	-14.349923278470976	1.312983979736246
1	1000	23.244332313537598	3000	3000	14	-11.883536389127137	1.312983979736246
2	1000	35.21028780937195	4000	4000	15	-179.0430319147562	1.312983979736246
3	1000	47.81517744064331	5000	5000	16	-76.05979505241497	1.312983979736246
4	1000	61.83767032623291	6000	6000	26	0.040924859834037264	7.207571778846404
5	1000	73.40341186523438	7000	7000	27	-90.78667829637557	7.207571778846404
6	1000	85.77639508247375	8000	8000	29	-3.9945928870272214	21.38706094494199
7	1000	99.72724103927612	9000	9000	34	8.140909967476453	47.54876599381289
8	1000	112.95126914978027	10000	10000	35	63.84288371879116	63.84288371879116
9	1000	125.16636729240417	11000	11000	39	-1.0196427107890853	82.98763276716669
10	1000	139.79909491539001	12000	12000	41	5.494417839468601	82.98763276716669
11	1000	152.48516416549683	13000	13000	42	241.7167036716826	241.7167036716826
12	1000	166.45526480674744	14000	14000	45	91.23198844719975	270.45414117085863
13	1000	180.008704662323	15000	15000	46	254.59149706866185	270.45414117085863
14	1000	191.60061192512512	16000	16000	47	203.66399309956208	270.45414117085863
15	1000	203.98338103294373	17000	17000	48	397.5551889460045	397.5551889460045
16	1000	217.96563363075256	18000	18000	50	141.56261596966166	397.5551889460045
17	1000	230.05861377716064	19000	19000	52	92.67395628735363	397.5551889460045
18	1000	243.42864346504211	20000	20000	53	309.3046115664199	397.5551889460045
19	1000	257.5962164402008	21000	21000	55	108.69309613636005	404.65938475858064
20	1000	273.3549678325653	22000	22000	56	393.75487623389785	404.65938475858064
21	1000	284.58765482902527	23000	23000	58	247.81923699844413	404.65938475858064
22	1000	296.2125060558319	24000	24000	59	8.477879557979243	404.65938475858064
23	1000	307.9691913127899	25000	25000	60	436.1289863374433	436.1289863374433
24	1000	319.33067202568054	26000	26000	61	416.9488921702576	436.1289863374433
25	1000	331.2709209918976	27000	27000	63	213.5312829244216	436.1289863374433
26	1000	342.9640300273895	28000	28000	64	454.32350556145764	454.32350556145764
27	1000	354.43375635147095	29000	29000	65	311.8063946552491	454.32350556145764
28	1000	365.94046664237976	30000	30000	66	368.1168064641482	454.32350556145764
29	1000	377.10301995277405	31000	31000	68	105.03229950617875	454.32350556145764
30	1000	388.6017301082611	32000	32000	69	502.8417039189135	502.8417039189135
31	1000	400.0308532714844	33000	33000	70	492.59646282871057	502.8417039189135
32	1000	411.02869272232056	34000	34000	71	497.3382766279522	502.8417039189135
33	1000	423.00669527053833	35000	35000	72	714.4120354961606	714.4120354961606
34	1000	434.7451286315918	36000	36000	73	550.7524727199802	714.4120354961606
35	1000	446.7516140937805	37000	37000	75	67.19683451894842	714.4120354961606
36	1000	458.5188250541687	38000	38000	76	513.0973579080404	714.4120354961606
37	1000	470.28510451316833	39000	39000	79	116.03137067228134	714.4120354961606
38	1000	481.6961739063263	40000	40000	80	465.0802720048766	714.4120354961606
39	1000	492.7274887561798	41000	41000	81	440.87036538166114	714.4120354961606
40	1000	504.2760136127472	42000	42000	82	546.2763668288851	714.4120354961606
41	1000	516.1613438129425	43000	43000	84	316.84292109767756	714.4120354961606
42	1000	527.8486495018005	44000	44000	85	523.8845246525075	714.4120354961606
43	1000	539.3035280704498	45000	45000	86	496.26154079589173	714.4120354961606
44	1000	551.1331429481506	46000	46000	87	396.1992680722932	714.4120354961606
45	1000	563.0423789024353	47000	47000	90	137.23357856686823	714.4120354961606
46	1000	574.4027857780457	48000	48000	91	223.05826806743602	714.4120354961606
47	1000	586.1522974967957	49000	49000	92	575.1401582872278	714.4120354961606
48	1000	597.6070835590363	50000	50000	94	496.2831058632769	949.2949304727814
49	1000	609.0534818172455	51000	51000	96	70.37915935302026	949.2949304727814
50	1000	620.752925157547	52000	52000	98	118.00461580465432	949.2949304727814
51	1000	632.6432280540466	53000	53000	99	218.69391389363986	949.2949304727814
52	1000	644.6105728149414	54000	54000	101	108.57181037800115	949.2949304727814
53	1000	656.1849071979523	55000	55000	102	492.5480061615627	949.2949304727814
54	1000	667.0620443820953	56000	56000	103	619.2644140967456	949.2949304727814
55	1000	678.133222579956	57000	57000	104	634.5980523583275	949.2949304727814
